;civilite_dirigeant;fonction_dirigeant;nom_dirigeant;prenom_dirigeant;representants_id;nom_prenom_dirigeant
916;M;Directeur Général;MARCELLIER;Marc-Adrien;480;MARCELLIER Marc-Adrien
917;M;Directeur général;CAZAILLON;Jean-Luc;481;CAZAILLON Jean-Luc
918;MME;Présidente;RICHARD;Marie;481;RICHARD Marie
919;M;Président;DUMON;Michel;482;DUMON Michel
920;M;1er Vice-Président;BELGY;Benoit;482;BELGY Benoit
921;M;2ème Vice-Président;GOMEZ;Gérard;482;GOMEZ Gérard
922;M;3ème Vice-Président;OZOUX;Eric;482;OZOUX Eric
923;M;4ème Vice-Président;DUSSOUL;Jean-Jacques;482;DUSSOUL Jean-Jacques
924;M;secrétaire général Nouvelle-Aquitaine;BAUDINET;Laurent;482;BAUDINET Laurent
925;M;Président;ROCCHIETTA;Georges;483;ROCCHIETTA Georges
926;M;Président;GILLIG;Thomas;484;GILLIG Thomas
927;M;Président;KOEGLER;Julien;484;KOEGLER Julien
928;M;Président;FARANDOU;Jean-Pierre;485;FARANDOU Jean-Pierre
929;M;Président de l'association;MERABET;Philippe;486;MERABET Philippe
930;M;Secrétaire général;VELUT;Jean-Loup;486;VELUT Jean-Loup
931;M;Directeur;GEORGET;Nicolas;487;GEORGET Nicolas
932;M;Président;HANNEBIQUE;Pierre;487;HANNEBIQUE Pierre
933;M;secrétaire général;LESAFFRE;Karel;487;LESAFFRE Karel
934;M;Trésorier;MONTIGNY;Stéphane;488;MONTIGNY Stéphane
935;M;Trésorier adjoint;VALET;Florian;488;VALET Florian
936;M;Président national;BEAUCAMP;Aurélien;488;BEAUCAMP Aurélien
937;MME;Vice-présidente;AUMOND;Catherine;488;AUMOND Catherine
938;M;Secrétaire Général;GALTIÉ;Samuel;488;GALTIÉ Samuel
939;M;Secrétaire général adjoint;PALLOT;Laurent;488;PALLOT Laurent
940;M;Directeur Général;DIXNEUF;Marc;488;DIXNEUF Marc
941;M;Président;ISAAC;Henri;489;ISAAC Henri
942;M;;ABLIN;Michael;490;ABLIN Michael
943;M;Président;VILLAND;Marc;491;VILLAND Marc
944;MME;DELEGUEE GENERALE;MATIGNON;Nathalie;492;MATIGNON Nathalie
945;M;Délégué Général;PAULISSEN;Nicolas;493;PAULISSEN Nicolas
946;M;Président;JUIN;Thomas;493;JUIN Thomas
947;M;Président;CHAMOT;François;494;CHAMOT François
948;M;Président;ANSPACH;Jean-Louis;495;ANSPACH Jean-Louis
949;M;Directeur Général;VRHOVEC;David;495;VRHOVEC David
950;M;Directeur Général - Pharmacien Responsable;JEGOU;Yannick;495;JEGOU Yannick
951;M;Président;CORET;Christophe;496;CORET Christophe
952;MME;Vice-Présidente;CARDONA;Sylvie;496;CARDONA Sylvie
953;M;Président;MENARD;Jean-Yves;497;MENARD Jean-Yves
954;M;Directeur Général;LENOIR;Bertrand;498;LENOIR Bertrand
955;M;Président;MASSON;Jean-Philippe;499;MASSON Jean-Philippe
956;M;Premier Vice-Président;SILBERMAN;Bruno;499;SILBERMAN Bruno
957;M;Secrétaire général;DELESALLE;Jean-Christophe;499;DELESALLE Jean-Christophe
958;M;Secrétaire général;LECLERC;Jean-Charles;499;LECLERC Jean-Charles
959;M;Président;DE MEULDER;Dirk;500;DE MEULDER Dirk
960;M;Président;MITTERRAND;Gilbert;501;MITTERRAND Gilbert
961;M;Directeur Général;POILANE;Emmanuel;501;POILANE Emmanuel
962;M;Président;CLEDEL;Jean-François;502;CLEDEL Jean-François
963;M;Président;COURBEBAISSE;Pierre;503;COURBEBAISSE Pierre
964;M;Délégué Général;PONCELET;Olivier;503;PONCELET Olivier
965;M;Président;GIUILY;Eric;504;GIUILY Eric
966;MME;Co-Présidente;COUTUREAU;Elisabeth;504;COUTUREAU Elisabeth
967;M;CEO;COOPER;Mike;505;COOPER Mike
968;M;Président Exécutif;DEPREY;François;506;DEPREY François
969;M;Président;BISOTTI;Marc-Angelo;507;BISOTTI Marc-Angelo
970;M;Directeur général;PETRUCCI;Romuald;507;PETRUCCI Romuald
971;MME;Présidente;VAYTILINGOM;Eulalie;508;VAYTILINGOM Eulalie
972;M;DG;MARION;Roland;509;MARION Roland
973;M;PRESIDENT;COVILLE;Francois;510;COVILLE Francois
974;M;Président;FAUCON;Patrice;511;FAUCON Patrice
975;MME;Directrice;TATON;Véronique;511;TATON Véronique
976;M;Directeur général;PÉTRY;François;512;PÉTRY François
977;M;Président;LANDRIOT;Jacques;513;LANDRIOT Jacques
978;M;Président;ROSY;Matthieu;514;ROSY Matthieu
979;M;président directeur général;LECHANTEUR;Marcel;515;LECHANTEUR Marcel
980;MME;Président;DELAPLACE LAVOIX;Fabienne;516;DELAPLACE LAVOIX Fabienne
981;M;Délégué Général;BAILLEUL;Sébastien;517;BAILLEUL Sébastien
982;M;Vice-Président suppléant;DESSEMON;Franck;518;DESSEMON Franck
983;M;Vice-Président suppléant;LAMY;Matthieu;518;LAMY Matthieu
984;MME;Vice-Présidente;CONTY;Brigitte;518;CONTY Brigitte
985;M;PRESIDENT;ASSELIN;Pascal;518;ASSELIN Pascal
986;M;Secrétaire Général;TEISSIER;Sylvain;518;TEISSIER Sylvain
987;M;Vice-Président;ROUSSEAU;Denis;518;ROUSSEAU Denis
988;M;Vice-Président;MARET;Christophe;518;MARET Christophe
989;MME;Vice-Présidente;PINTAT;Céline;518;PINTAT Céline
990;MME;Vice-Présidente suppléante;DUCLOS;Estelle;518;DUCLOS Estelle
991;M;Trésorier;SIST;David;518;SIST David
992;M;Président;GALLOIS;Louis;519;GALLOIS Louis
993;M;Président d'honneur;BRUNEL;Denys;520;BRUNEL Denys
994;M;Président;CATABELLE;Jean-Marie;520;CATABELLE Jean-Marie
995;M;Président de l'UMIH 33;TOURNIER;Laurent;521;TOURNIER Laurent
996;M;Président;ROMITI;Gérard;522;ROMITI Gérard
997;M;Directeur Général;CARRÉ;Hubert;522;CARRÉ Hubert
998;M;Associé;BENOIST;Olivier;523;BENOIST Olivier
999;M;Associé;D'AMÉCOURT;Paul;523;D'AMÉCOURT Paul
1000;M;Dirigeant;CHRETIEN;Anthony;524;CHRETIEN Anthony
1001;M;Délégué Général;BOCQUELET;Hubert;525;BOCQUELET Hubert
1002;M;Président;LE ROY;Arnaud;525;LE ROY Arnaud
1003;M;Secrétaire;PREBIN;François;525;PREBIN François
1004;M;Trésorier;HENNEL;Eric;525;HENNEL Eric
1005;M;Président;DARAK;Shayna;526;DARAK Shayna
1006;M;Secrétaire général;PINEAU;Kévin;526;PINEAU Kévin
1007;M;Président;BRUNET;Hubert;527;BRUNET Hubert
1008;M;Président Directeur Général;ABECASIS;João;528;ABECASIS João
1009;M;Président;GOJ;Philippe;529;GOJ Philippe
1010;M;Président des Jeunes Agriculteurs du Cher;RONDIER;Arnaud;530;RONDIER Arnaud
1011;M;Président Jeunes Agriculteurs Vosges;LAMBERT;Victorien;531;LAMBERT Victorien
1012;M;Président;RANTY;Philippe;532;RANTY Philippe
1013;M;Directeur Général délégué;BORDENAVE;Philippe;533;BORDENAVE Philippe
1014;M;Administrateur, Directeur Général;BONNAFÉ;Jean-Laurent;533;BONNAFÉ Jean-Laurent
1015;M;Président;DELANDE;Jean-Claude;534;DELANDE Jean-Claude
1016;M;Secrétaire général;LE POTIER;Nathan;535;LE POTIER Nathan
1017;MME;Secrétaire générale adjointe;BOUR;Alexia;535;BOUR Alexia
1018;M;Secrétaire national;PENA;Loris;535;PENA Loris
1019;M;Secrétaire national;HEDAR;Nabil;535;HEDAR Nabil
1020;MME;Secrétaire nationale;MAUGARNY;Mathilde;535;MAUGARNY Mathilde
1021;M;Secrétaire national;CAVACAS;Maxim;535;CAVACAS Maxim
1022;MME;Secrétaire nationale;N'GAZI;Lina;535;N'GAZI Lina
1023;M;Secrétaire national;REMANDE;Jean-Marc;535;REMANDE Jean-Marc
1024;MME;Secrétaire nationale;CHERQAOUI;Amal;535;CHERQAOUI Amal
1025;M;Secrétaire général adjoint;DELOHEN;Julien;535;DELOHEN Julien
1026;M;Président;FABRE;Jérôme;536;FABRE Jérôme
1027;MME;Présidente;COLAS;Fabienne;537;COLAS Fabienne
1028;M;PRESIDENT;LACOSTA;Pascal;538;LACOSTA Pascal
1029;M;SECRETAIRE GENERAL;POLGE;Olivier;538;POLGE Olivier
1030;M;Gérant;TRUPIN;Laurent;539;TRUPIN Laurent
1031;M;Secrétaire;CAGET;Alexandre;540;CAGET Alexandre
1032;M;Président;GAIJI;Khaled;541;GAIJI Khaled
1033;M;Délégué Général;BOUIX;Frédéric;542;BOUIX Frédéric
1034;M;Président;GAVAUDAN;Jérôme;543;GAVAUDAN Jérôme
1035;M;Délégué Général;ROUQUE;Alexis;544;ROUQUE Alexis
1036;MME;Présidente;FRANÇOIS-CUXAC;Alexandra;544;FRANÇOIS-CUXAC Alexandra
1037;M;Président;LECOMTE;Trsitan;545;LECOMTE Trsitan
1038;M;Président;LEGENDRE;Jean Philippe;546;LEGENDRE Jean Philippe
1039;MME;Présidente;AIMARD;Ariane;547;AIMARD Ariane
1040;M;Président;HENRY;Paul;548;HENRY Paul
1041;M;Vice-Président;STALTER;Bernard;548;STALTER Bernard
1042;M;Vice-Président;MOUTON;Jean-Louis;548;MOUTON Jean-Louis
1043;M;Vice-Président;ZORGNIOTTI;Joseph;548;ZORGNIOTTI Joseph
1044;M;Vice-Président;NOSAL;Christian;548;NOSAL Christian
1045;MME;Secrétaire Générale;CADET;Christine;548;CADET Christine
1046;M;Président;SABRIÉ;Pascal;549;SABRIÉ Pascal
1047;MME;Présidente;CUENOT-STALDER;Jacqueline;550;CUENOT-STALDER Jacqueline
1048;MME;Direction;SCHWERDORFFER;Anne;550;SCHWERDORFFER Anne
1049;M;Directeur Général;L'ELCHAT;Cédric;551;L'ELCHAT Cédric
1050;MME;;KUNTZ;Florence;552;KUNTZ Florence
1051;M;Président;FERAUD;Guylhem;553;FERAUD Guylhem
1052;M;Président;BUSTAMANTE;Nicolas;554;BUSTAMANTE Nicolas
1053;M;Directeur général;DUSSÉAUX;Antoine;554;DUSSÉAUX Antoine
1054;M;Directeur général adjoint;CHAMPEIMONT;Raphaël;554;CHAMPEIMONT Raphaël
1055;M;Président du Cercle de l'Industrie;VARIN;Philippe;555;VARIN Philippe
1056;M;Délégué général;DANJOU;Jean-Marie;555;DANJOU Jean-Marie
1057;MME;PRESIDENTE;COULOUVRAT;Aline;556;COULOUVRAT Aline
1058;M;DIRECTEUR;MANO;Jean-Luc;556;MANO Jean-Luc
1059;MME;Présidente;FOUGOU;Stéphanie;557;FOUGOU Stéphanie
1060;M;Vice-Président;MOSSÉ;Marc;557;MOSSÉ Marc
1061;MME;Secrétaire Générale;PAULET;Anne Laure;557;PAULET Anne Laure
1062;MME;Responsable de la communication;TSATSANIS;Coralie;557;TSATSANIS Coralie
1063;M;Administrateur d'Honneur;TROCHON;Jean-Yves;557;TROCHON Jean-Yves
1064;MME;General Manager;HOUEL;Maureen;558;HOUEL Maureen
1065;M;PDG;SCHMAUL;Bernd;558;SCHMAUL Bernd
1066;M;PRESIDENT;MOURA NETO;Jose Luiz;559;MOURA NETO Jose Luiz
1067;M;Président;NIBOUREL;Christian;560;NIBOUREL Christian
1068;M;President;HENDLER;Gary;561;HENDLER Gary
1069;MME;Pharmacien Responsable Directeur General;MONTEUX;Agnès;561;MONTEUX Agnès
1070;M;Président Directeur Général;SAADÉ;Rodolphe;562;SAADÉ Rodolphe
1071;MME;Directeur Général Délégué;SAADÉ;Tanya;562;SAADÉ Tanya
1072;M;Directeur Général Délégué;SALEM;Farid;562;SALEM Farid
1073;M;Co-Président;BLANCHARD;Romain;563;BLANCHARD Romain
1074;MME;Co-Présidente;POULET;Camille;563;POULET Camille
1075;M;Directeur Général Délégué;FRANCK;Jérôme;564;FRANCK Jérôme
1076;M;Président et Directeur des Publications;BAZOT;Alain;564;BAZOT Alain
1077;M;Président;DORÉ;Christophe;565;DORÉ Christophe
1078;MME;1ère Vice-présidente;LEMARCHAND;Roseline;565;LEMARCHAND Roseline
1079;M;2ème Vice-président;DESGROUAS;Gabriel;565;DESGROUAS Gabriel
1080;M;3ème Vice-président;FREIRE;Daniel;565;FREIRE Daniel
1081;M;4ème Vice-président;TURPIN;Serge;565;TURPIN Serge
1082;M;Secrétaire général;DUPUIS;Gwénaël;565;DUPUIS Gwénaël
1083;MME;Présidente du Directoire;BATLLE;Laurence;566;BATLLE Laurence
1084;M;Directeur Général Délégué;FONBLANC;Gilles;567;FONBLANC Gilles
1085;M;Président;ROUSSEL;André-Hubert;567;ROUSSEL André-Hubert
1086;M;Directeur Général Délégué;GODART;Pierre;567;GODART Pierre
1087;M;Directeur Général Délégué;PASTOR;Philippe;567;PASTOR Philippe
1088;M;Directeur général;MARILL;Emmanuel;568;MARILL Emmanuel
1089;M;Président du conseil d'administration;DE GARIDEL;Marc;569;DE GARIDEL Marc
1090;M;Directeur General;MEEK;David;569;MEEK David
1091;MME;Presidente;BARREAU;Stephanie;570;BARREAU Stephanie
1092;M;Président;LINDRON;Didier;571;LINDRON Didier
1093;M;Secrétaire Général;PASCAL;Luc;571;PASCAL Luc
1094;M;Président;HUNAULT;Dominique;572;HUNAULT Dominique
1095;M;Directeur;JUERY;Joel;573;JUERY Joel
1096;M;Secrétaire Général;FIALIP;Yannick;573;FIALIP Yannick
1097;M;Président;JOUX;Michel;573;JOUX Michel
1098;M;PDG;LE CAIGNEC;Herve;574;LE CAIGNEC Herve
1099;M;Directeur Général;VANHOVE;Christophe;574;VANHOVE Christophe
1100;M;Président;BANCEL;Jean-Louis;575;BANCEL Jean-Louis
1101;MME;Secrétaire générale;NAETT;Caroline;575;NAETT Caroline
1102;M;Président;GUILLOU;Hervé;576;GUILLOU Hervé
1103;M;Délégué général;LAMBERT;François;576;LAMBERT François
1104;M;Vice-Président;LE PIVAIN;Louis;576;LE PIVAIN Louis
1105;M;Secrétaire général;NIELLY;Bruno;576;NIELLY Bruno
1106;M;Trésorier;GUILLERME;Guénaël;576;GUILLERME Guénaël
1107;M;Président;JUVEN;Philippe;577;JUVEN Philippe
1108;M;Président;TANDE;Charles-René;578;TANDE Charles-René
1109;M;Secrétaire Général;OLIVIER;Grégoire;579;OLIVIER Grégoire
1110;M;Co-président délégué;DURON;Philippe;580;DURON Philippe
1111;M;Co-président;NEGRE;Louis;580;NEGRE Louis
1112;M;Président;LALONDE;Brice;581;LALONDE Brice
1113;M;Secrétaire général;ROGERS-BOUTBIEN;Gilles;581;ROGERS-BOUTBIEN Gilles
1114;M;Conseiller scientifique;HAUET;Jean-Pierre;581;HAUET Jean-Pierre
1115;M;Président d'honneur;BERGOUGNOUX;Jean;581;BERGOUGNOUX Jean
1116;MME;Présidente;HEDON;Claire;582;HEDON Claire
1117;MME;Directrice;MOUHADDAB;Aïcha;583;MOUHADDAB Aïcha
1118;M;Président;BARBUT;Stéphane;584;BARBUT Stéphane
1119;M;PRESIDENT;AGUILERA;Vincent;585;AGUILERA Vincent
1120;M;Président;JOFFRE;André;586;JOFFRE André
1121;M;Président;LACOMBE;Damien;587;LACOMBE Damien
1122;M;Président;DUGAST;Antoine;588;DUGAST Antoine
1123;M;CEO;DUNNE;Dana;589;DUNNE Dana
1124;M;Président;DOTTELONDE;Stéphane;590;DOTTELONDE Stéphane
1125;M;Président;HADIDA;Victor;591;HADIDA Victor
1126;MME;Déléguée Générale;LORIMY;Julie;591;LORIMY Julie
1127;MME;Directrice Générale;THUNE;Florence;592;THUNE Florence
1128;MME;Présidente;BARRE-SINOUSSI;Françoise;592;BARRE-SINOUSSI Françoise
1129;M;DG Délégué;NOBILEAU;Christophe;593;NOBILEAU Christophe
1130;M;Président;LARUE;Fabrice;593;LARUE Fabrice
1131;M;Président d'honneur;KLOSSA;Guillaume;594;KLOSSA Guillaume
1132;M;Trésorier;COSSÉ;Stéphane;594;COSSÉ Stéphane
1133;M;Vice-Président;VILLANI;Cédric;594;VILLANI Cédric
1134;MME;Vice-Présidente;FLEURY;Cynthia;594;FLEURY Cynthia
1135;M;Secrétaire Général;HEULLY;Alexandre;594;HEULLY Alexandre
1136;M;Vice-Président;DENSIS-REMIS;Cédric;594;DENSIS-REMIS Cédric
1137;M;Président de la FIPEC;MENICUCCI;Jacques;595;MENICUCCI Jacques
1138;MME;Déléguée Générale;LAJOUS;Carole;595;LAJOUS Carole
1139;M;Administrateur gérant;SAMBA;Abdoulaye;596;SAMBA Abdoulaye
1140;M;Co-Président;GRAINDORGE;Alexis;597;GRAINDORGE Alexis
1141;M;Président CPME 56;DOZOUL;Claude;598;DOZOUL Claude
1142;M;PDG;FARANDOU;Jean-Pierre;599;FARANDOU Jean-Pierre
1143;M;Président;CORIAT;Martin;600;CORIAT Martin
1144;M;Directeur scientifique;DENIS;Julien;601;DENIS Julien
1145;M;Président;TURCAS;François;602;TURCAS François
1146;M;DIRECTEUR GENERAL (succursale française);POURBAIX;Patrick;603;POURBAIX Patrick
1147;M;Représentant d'intérêts;DUPEYRAT;Pascal;604;DUPEYRAT Pascal
1148;M;PRESIDENT;LE BORGNE;Jean-Charles;605;LE BORGNE Jean-Charles
1149;M;SECRETAIRE GENERAL;CHARLET;Jean-Robert;605;CHARLET Jean-Robert
1150;M;Président;PETIT;Eric;606;PETIT Eric
1151;M;Secrétaire Général;LOCHON;Corentin;607;LOCHON Corentin
1152;M;Vice Président;KUNYSZ;Nicolas;607;KUNYSZ Nicolas
1153;M;Président;APPERT-COLLIN;Timothée;607;APPERT-COLLIN Timothée
1154;M;Président;AMIRAULT;Dominique;608;AMIRAULT Dominique
1155;MME;Déléguée générale;BARTHE;Christine;608;BARTHE Christine
1156;M;Directeur;GOKELAERE;Thierry;609;GOKELAERE Thierry
1157;M;Président;GARNOT;Jean-Philippe;609;GARNOT Jean-Philippe
1158;M;Vice-Président;LEFEBVRE;Jean-Charles;609;LEFEBVRE Jean-Charles
1159;M;Secretaire général;MUGNIER;Olivier;610;MUGNIER Olivier
1160;MME;Présidente;LECONTE;Christine;611;LECONTE Christine
1161;MME;Présidente;MESPOULHES;Valérie;612;MESPOULHES Valérie
1162;MME;Directrice;MASSIERE;Ariane;612;MASSIERE Ariane
1163;M;Président;GRANDJEAN;Alain;613;GRANDJEAN Alain
1164;MME;Directrice Générale;OSTRIA;Cécile;613;OSTRIA Cécile
1165;M;directeur;BLASCO;Jean-Louis;614;BLASCO Jean-Louis
1166;M;Président;BONNET;Emilien;614;BONNET Emilien
1167;M;Président;BARREAU;Antoine;615;BARREAU Antoine
1168;M;Administrateur-général;JACQ;François;616;JACQ François
1169;MME;Administrateur-général adjoint;PIKETTY;Laurence;616;PIKETTY Laurence
1170;M;Président du conseil d'administration;AL-OBAIDLY;Yousef;617;AL-OBAIDLY Yousef
1171;M;PRESIDENT;SEYER;Daniel;618;SEYER Daniel
1172;M;Président;CHAM;Claude;619;CHAM Claude
1173;M;Directeur général;ARONICA;Charles;619;ARONICA Charles
1174;M;Président;GINESTET;Michel;620;GINESTET Michel
1175;MME;Président;COCHAUX;Caroline;621;COCHAUX Caroline
1176;M;PRESIDENT;COHARDY;Emmanuel;622;COHARDY Emmanuel
1177;M;Président du SEPM;AUGE;Alain;623;AUGE Alain
1178;M;Vive-Président du SEPM;CLAVERIE;François;623;CLAVERIE François
1179;MME;Vice-Présidente du SEPM;THOMAS;Caroline;623;THOMAS Caroline
1180;MME;Directrice Générale;LORIMY;Julie;623;LORIMY Julie
1181;MME;VP General Manager;BLACHIER-POISSON;Corinne;624;BLACHIER-POISSON Corinne
1182;M;Président délégué;MARTIN;Patrick;625;MARTIN Patrick
1183;M;Président;ROUX DE BEZIEUX;Geoffroy;625;ROUX DE BEZIEUX Geoffroy
1184;M;Directeur général;GUILBAUD;Michel;625;GUILBAUD Michel
1185;M;Délégué Général;LONGEPIERRE;Christophe;626;LONGEPIERRE Christophe
1186;M;Président;VERZAT;Pierre;626;VERZAT Pierre
1187;M;Président exécutif;ISRAËL;Stéphane;627;ISRAËL Stéphane
1188;M;Co-Gérant;DENWOOD;Peter;628;DENWOOD Peter
1189;M;Co-Gérant;SHAPIRO;Michael;628;SHAPIRO Michael
1190;M;président;ALLIONE;Grégory;629;ALLIONE Grégory
1191;M;Président;GREFFIN;Damien;630;GREFFIN Damien
1192;M;VICE-PRESIDENT;BUET;Sebastien;631;BUET Sebastien
1193;M;PRESIDENT;VAN DEN HEUVEL;Daniel;631;VAN DEN HEUVEL Daniel
1194;M;PRESIDENT;BERTINETTI;Gerard;632;BERTINETTI Gerard
1195;M;President;PERRIN;Nicolas;633;PERRIN Nicolas
1196;M;Secrétaire général de l'Enseignement catholique;DELORME;Philippe;634;DELORME Philippe
1197;MME;Directrice générale adjointe;VASSAUX-D'AZÉMAR;France;635;VASSAUX-D'AZÉMAR France
1198;M;Directeur général;DUPONT;Alexis;635;DUPONT Alexis
1199;M;Président;GAILLARD;Dominique;635;GAILLARD Dominique
1200;M;DIRECTEUR GENERAL;LAHEURTE;Cyrille;636;LAHEURTE Cyrille
1201;M;PRESIDENT;GRELIER;Eric;636;GRELIER Eric
1202;M;Président;ROCHE;Max;637;ROCHE Max
1203;M;Délégué général;BEZANÇON;Xavier;637;BEZANÇON Xavier
1204;M;conseiller juridique;CUCCHIARINI;Christian;637;CUCCHIARINI Christian
1205;MME;DIRECTRICE GENERALE;GILSON;Lina;638;GILSON Lina
1206;M;DIRECTEUR GENERAL ADJOINT;SIMON;Olivier;638;SIMON Olivier
1207;MME;Directrice générale;POINSOT;Valérie;639;POINSOT Valérie
1208;M;Directeur général délégué - Pharmacien Responsable;BAYSSAT;Jean-Christophe;639;BAYSSAT Jean-Christophe
1209;M;PRESIDENT;CHAMOUTON;Michel;640;CHAMOUTON Michel
1210;M;SECRETAIRE GENERAL;MUSSOT;Jean Paul;640;MUSSOT Jean Paul
1211;M;Président;LALANNE;Romain;641;LALANNE Romain
1212;M;Président;VIGROUX;Guilhem;642;VIGROUX Guilhem
1213;M;Président;KULLMANN;Christophe;643;KULLMANN Christophe
1214;M;Délégué général;KELBERG;Dorian;643;KELBERG Dorian
1215;M;PRESIDENT;GIRARD;Olivier;644;GIRARD Olivier
1216;M;Directeur Associé;LAPLANTIF;Éric;645;LAPLANTIF Éric
1217;M;Directeur Général;PETITCOLIN;Philippe;646;PETITCOLIN Philippe
1218;M;PRESIDENT;TRANQUARD;Cedric;647;TRANQUARD Cedric
1219;M;Président du Directoire;ROY DE PUYFONTAINE;Arnaud;648;ROY DE PUYFONTAINE Arnaud
1220;M;Président directeur général;BELLANGER;Pierre;649;BELLANGER Pierre
1221;M;Président de la personne morale siégeant au CA;CAVALIER;Gérald;650;CAVALIER Gérald
1222;M;Président;THOMAS;Guy;650;THOMAS Guy
1223;M;Président;CAVALIER;Gerald;651;CAVALIER Gerald
1224;M;Président;PARIZON;Jean-Pierre;652;PARIZON Jean-Pierre
1225;M;Président du conseil d'administration;BEAUDOUIN;Pierre-Yves;653;BEAUDOUIN Pierre-Yves
1226;M;Président;BADINA;Frederic;654;BADINA Frederic
1227;M;Président;PIVAIN;Mathieu;655;PIVAIN Mathieu
1228;MME;Secrétaire Générale;HUPIN;Caroline;655;HUPIN Caroline
1229;M;PRESIDENT;MAQUEREL;Antoine;656;MAQUEREL Antoine
1230;M;PRESIDENT;GUILLAUME;Eric;657;GUILLAUME Eric
1231;M;Président;AUROUSSEAU;Stéphane;658;AUROUSSEAU Stéphane
1232;M;PRESIDENT;PICON;Michel;659;PICON Michel
1233;M;Gérant;BOSSAERT;Fabrice;660;BOSSAERT Fabrice
1234;M;Président;SALMON;Florian;661;SALMON Florian
1235;M;Président;LAFON;Gilles;662;LAFON Gilles
1236;M;Président du Conseil d'Administration;CLAMADIEU;Jean-Pierre;663;CLAMADIEU Jean-Pierre
1237;MME;Directeur Général;KOCHER;Isabelle;663;KOCHER Isabelle
1238;MME;Directrice associée;JACQUILLAT;Laurence;664;JACQUILLAT Laurence
1239;M;Directeur associé;CHAPEL;Florent;664;CHAPEL Florent
1240;M;Président;DURAND;Christophe;665;DURAND Christophe
1241;MME;Présidente;RADIX;Lydia;666;RADIX Lydia
1242;M;PRESIDENT;MONSONIS;Jean-Pierre;667;MONSONIS Jean-Pierre
1243;M;Président;MOLINA DIT LIBERTY;Alain;668;MOLINA DIT LIBERTY Alain
1244;M;Secrétaire Général;MOIGNOUX;Kevin;668;MOIGNOUX Kevin
1245;M;Président;DURIEUX;Vincent;669;DURIEUX Vincent
1246;M;Vice-Président;ROELSTRAETE;Koen;669;ROELSTRAETE Koen
1247;M;Vice-Président;PARTOUCHE;Olivier;669;PARTOUCHE Olivier
1248;M;Secrétaire;ROBIQUET;Mathieu;669;ROBIQUET Mathieu
1249;MME;Trésorier;SCALES;Charlotte;669;SCALES Charlotte
1250;M;Président;BOUÉTARD;Franck;670;BOUÉTARD Franck
1251;M;Président;DAVID;Vincent;671;DAVID Vincent
1252;M;Directeur général;HOCQUART DE TURTOT;Bruno;671;HOCQUART DE TURTOT Bruno
1253;M;Président du Conseil d'administration;CHAMBON;Pierre;672;CHAMBON Pierre
1254;M;Directeur général;DELPRAT;Cyrille;672;DELPRAT Cyrille
1255;MME;Présidente Directrice Générale DALKIA;JEHANNO;Sylvie;673;JEHANNO Sylvie
1256;M;Délégué Général;BOCQUELET;Hubert;674;BOCQUELET Hubert
1257;M;Président;LIARDET;Michel;674;LIARDET Michel
1258;M;Vice-Président;DARMON;Pierre;674;DARMON Pierre
1259;M;Trésorier;LE SAINT;Loïc;674;LE SAINT Loïc
1260;M;Président directeur général;HUILLARD;Xavier;675;HUILLARD Xavier
1261;M;Président;TOUFLET;Sebastien;676;TOUFLET Sebastien
1262;M;Président;ANTOINE;Patrick;677;ANTOINE Patrick
1263;M;Délégué Général;BERANGER;Vincent;677;BERANGER Vincent
1264;M;PRESIDENT;BURNEREAU;Hubert;678;BURNEREAU Hubert
1265;M;Président du Conseil de Surveillance;SOUFFLET;Michel;679;SOUFFLET Michel
1266;M;Président du Directoire;SOUFFLET;Jean-Michel;679;SOUFFLET Jean-Michel
1267;M;Membre du Directoire;THIERRY;Didier;679;THIERRY Didier
1268;M;Directeur Général - Membre du Directoire;PASSELANDE;Christophe;679;PASSELANDE Christophe
1269;M;Membre du Directoire;LEPY;Jean-François;679;LEPY Jean-François
1270;MME;DIRECTRICE;LE BOUILLE;Laurence;680;LE BOUILLE Laurence
1271;M;PRESIDENT;GUEHENNEC;Frank;680;GUEHENNEC Frank
1272;MME;SECRETAIRE GENERALE;LUHERNE;Marie-Andree;680;LUHERNE Marie-Andree
1273;M;Président;GATEAU;Luc;681;GATEAU Luc
1274;MME;Directrice exécutive;TORRES MAGUEDANO;Marie-Aude;681;TORRES MAGUEDANO Marie-Aude
1275;M;Président-Directeur Général;FIEVET;Antoine;682;FIEVET Antoine
1276;M;Président;BATTISTA;Charles;683;BATTISTA Charles
1277;M;Associate Vice President - Managing Director France;JEGOU;Loïc;684;JEGOU Loïc
1278;MME;DIRECTEUR;LE PAGE;Catherine;685;LE PAGE Catherine
1279;M;PRESIDENT;RAGUENAUD;Patrick;685;RAGUENAUD Patrick
1280;M;MAS;MAS;Jean-Pierre;686;MAS Jean-Pierre
1281;M;Président;LAFRAGETTE;Alain;687;LAFRAGETTE Alain
1282;M;Président;LE GALL DU TERTRE;Christian;688;LE GALL DU TERTRE Christian
1283;M;PRESIDENT DU CONSEIL D'ADMINISTRATION- DIRECTEUR GENERAL;RUDELLE;Jean-Baptiste;689;RUDELLE Jean-Baptiste
1284;M;Président;RICHARD;Thibault;690;RICHARD Thibault
1285;M;Président;SCHILANSKY;Jean-Louis;691;SCHILANSKY Jean-Louis
1286;MME;Présidente- Directrice générale;GUILLOUARD;Catherine;692;GUILLOUARD Catherine
