;domaines_intervention_actions_menees;activite_id
2914;Impact de l'activité industrielle;1359
2915;Ressources minières;1359
2916;Forêt;1359
2917;Agriculture;1359
2918;Eaux;1360
2919;Forêt;1360
2920;Agriculture;1360
2921;Infrastructures;1360
2922;Finances;1361
2923;Assurances;1361
2924;Banques;1361
2925;Energies renouvelables;1361
2926;Energies fossiles;1361
2927;Politique industrielle;1362
2928;Impact des transports individuels;1362
2929;Accidents et catastrophes naturelles;1362
2930;Sécurité nationale;1362
2931;Energies fossiles;1362
2932;Produits chimiques;1363
2933;Qualité de l'eau;1363
2934;Impact de l'activité industrielle;1363
2935;Développement économique des outre-mer;1363
2936;Forêt;1363
2937;Energies fossiles;1364
2938;Budget;1364
2939;Prévention;1365
2940;Sécurité et normes alimentaires;1365
2941;Impact de l'activité industrielle;1365
2942;Industrie agroalimentaire;1365
2943;Agriculture;1365
2944;Prévention;1366
2945;Qualité de l'eau;1366
2946;Bien-être animal;1366
2947;Impact de l'activité industrielle;1366
2948;Agriculture;1366
2949;Agriculture;1367
2950;Principe de précaution;1368
2951;Qualité de l'eau;1368
2952;Sécurité et normes alimentaires;1368
2953;Industrie agroalimentaire;1368
2954;Agriculture;1368
2955;Finances;1369
2956;Impact de l'activité industrielle;1369
2957;Energies renouvelables;1369
2958;Energies fossiles;1369
2959;Principe de précaution;1370
2960;Produits chimiques;1370
2961;Qualité de l'eau;1370
2962;Eaux;1370
2963;Agriculture;1370
2964;Finances;1371
2965;Normes de production;1371
2966;Produits chimiques;1371
2967;Pêche;1371
2968;Energies fossiles;1371
2969;Eaux;1372
2970;Impact de l'activité industrielle;1372
2971;Ressources minières;1372
2972;Energies fossiles;1372
2973;Ordre administratif;1373
2974;Impact de l'activité industrielle;1373
2975;Institutions judiciaires;1373
2976;Pêche;1373
2977;Energies fossiles;1373
2978;Moralisation/Transparence;1374
2979;Eaux;1375
2980;Ressources minières;1375
2981;Forêt;1375
2982;Pêche;1375
2983;Agriculture;1375
2984;Produits chimiques;1376
2985;Qualité de l'eau;1376
2986;Développement économique des outre-mer;1376
2987;Ressources minières;1376
2988;Forêt;1376
2989;Impact de l'activité industrielle;1377
2990;Energies renouvelables;1377
2991;Energies fossiles;1377
2992;Energie nucléaire;1377
2993;Publicité;1378
2994;Audiovisuel;1378
2995;Taxes;1379
2996;Occupation des sols;1379
2997;Marchés réglementés;1379
2998;Energies renouvelables;1379
2999;Budget;1379
3000;Droit de la concurrence;1380
3001;Marchés réglementés;1380
3002;Energie nucléaire;1380
3003;Taxes;1381
3004;Bâtiments et travaux publics;1381
3005;Energies renouvelables;1381
3006;Energies fossiles;1381
3007;Droit du travail;1382
3008;PME/TPE;1383
3009;Impôts;1384
3010;Système de santé et médico-social;1385
3011;Soins et maladies;1386
3012;Système de santé et médico-social;1386
3013;Collectivités territoriales;1387
3014;Protection des données;1387
3015;Taxes;1388
3016;Publicité;1388
3017;Liberté d’expression et d’information;1388
3018;Droit d'auteur;1388
3019;Audiovisuel;1388
3020;Marchés réglementés;1389
3021;Energies renouvelables;1389
3022;Energies fossiles;1389
3023;Energie nucléaire;1389
3024;Energies renouvelables;1390
3025;Energies fossiles;1390
3026;Energie nucléaire;1390
3027;Normes de production;1391
3028;Agriculture;1391
3029;Industrie agroalimentaire;1392
3030;Agriculture;1392
3031;Finances;1393
3032;Impôts;1393
3033;Recherche et innovation;1394
3034;Agriculture;1394
3035;Politique industrielle;1395
3036;Recherche et innovation;1395
3037;Agriculture;1395
3038;Impôts;1396
3039;Aides aux entreprises;1397
3040;Système de santé et médico-social;1397
3041;Taxes;1398
3042;Audiovisuel;1398
3043;Budget;1398
3044;Remboursements;1399
3045;Prévention;1399
3046;Soins et maladies;1399
3047;Système de santé et médico-social;1399
3048;Impôts;1400
3049;Professions réglementées;1400
3050;PME/TPE;1400
3051;Remboursements;1401
3052;Soins et maladies;1401
3053;Système de santé et médico-social;1401
3054;Occupation des sols;1402
3055;Bâtiments et travaux publics;1402
3056;Cinéma;1402
3057;Construction;1402
3058;Remboursements;1403
3059;Système de santé et médico-social;1403
3060;Taxes;1404
3061;Impôts;1405
3062;Dialogue social;1405
3063;PME/TPE;1405
3064;Finances;1406
3065;PME/TPE;1406
3066;Finances;1407
3067;Assurances;1407
3068;Banques;1407
3069;Logement;1408
3070;Construction;1408
3071;Prévention;1409
3072;Médicaments;1409
3073;Soins et maladies;1409
3074;Recherche et innovation;1410
3075;Agriculture;1410
3076;Bâtiments et travaux publics;1411
3077;Energies renouvelables;1411
3078;Taxes;1412
3079;E-commerce;1412
3080;Taxes;1413
3081;Impôts;1413
3082;Sports;1413
3083;Budget;1413
3084;Remboursements;1414
3085;Médicaments;1414
3086;Soins et maladies;1414
3087;Industrie agroalimentaire;1415
3088;Agriculture;1415
3089;Marchés réglementés;1416
3090;Collectivités territoriales;1416
3091;Finances;1417
3092;Assurances;1417
3093;Banques;1417
3094;Agriculture;1418
3095;Finances;1419
3096;Sécurité et normes alimentaires;1420
3097;Industrie agroalimentaire;1420
3098;Remboursements;1421
3099;Soins et maladies;1421
3100;Système de santé et médico-social;1421
3101;Taxes;1422
3102;Accès à l’Internet;1422
3103;Accès aux moyens de télécommunications;1422
3104;Infrastructures de télécommunications;1422
3105;Budget;1422
3106;Audiovisuel;1423
3107;Droit d'auteur;1424
3108;Audiovisuel;1424
3109;Marché du numérique;1424
3110;Droit d'auteur;1425
3111;Audiovisuel;1425
3112;Marché du numérique;1425
3113;Protection des données;1426
3114;E-commerce;1426
3115;Finances;1427
3116;PME/TPE;1427
3117;Droit d'auteur;1428
3118;Audiovisuel;1428
3119;Protection des données;1428
3120;Marché du numérique;1428
3121;Prévention;1429
3122;Médicaments;1429
3123;Soins et maladies;1429
3124;Transport de voyageurs;1430
3125;E-commerce;1430
3126;Professions réglementées;1431
3127;Transport de voyageurs;1431
3128;Tourisme/hôtellerie;1431
3129;E-commerce;1431
3130;Droit de la concurrence;1432
3131;Transport de voyageurs;1432
3132;Tourisme/hôtellerie;1432
3133;E-commerce;1432
3134;PME/TPE;1433
3135;Prévention;1434
3136;Soins et maladies;1434
3137;Système de santé et médico-social;1434
3138;Impôts;1435
3139;Accès à l’Internet;1436
3140;Système de santé et médico-social;1437
3141;Retraites;1438
3142;Système de santé et médico-social;1438
3143;Soins et maladies;1439
3144;Système de santé et médico-social;1439
3145;Soins et maladies;1440
3146;Système de santé et médico-social;1440
3147;Produits chimiques;1441
3148;Politique industrielle;1441
3149;Recherche et innovation;1441
3150;Politique industrielle;1442
3151;Energies renouvelables;1442
3152;Remboursements;1443
3153;Soins et maladies;1443
3154;Système de santé et médico-social;1443
3155;Système de santé et médico-social;1444
3156;Normes de production;1445
3157;Politique industrielle;1445
3158;Recherche et innovation;1445
3159;Espionnage et surveillance;1446
3160;Droits et libertés fondamentales;1446
3161;Sécurité nationale;1446
3162;Protection des données;1446
3163;Audiovisuel;1447
3164;Politique industrielle;1448
3165;Energies renouvelables;1448
3166;Politique industrielle;1449
3167;Energies renouvelables;1449
3168;Prévention;1450
3169;Soins et maladies;1450
3170;Sécurité et normes alimentaires;1450
3171;Assurances;1451
3172;Finances;1452
3173;PME/TPE;1452
3174;PME/TPE;1453
3175;Système de santé et médico-social;1453
3176;Prévention;1454
3177;Soins et maladies;1454
3178;Système de santé et médico-social;1454
3179;Système de santé et médico-social;1455
3180;Handicap;1455
3181;Normes de production;1456
3182;Déchets;1456
3183;Soins et maladies;1457
3184;Système de santé et médico-social;1457
3185;Finances;1458
3186;Assurances;1458
3187;Banques;1458
3188;Assurances;1459
3189;Banques;1459
3190;Recherche et innovation;1460
3191;Agriculture;1460
3192;Impôts;1461
3193;Logement;1461
3194;Energies renouvelables;1461
3195;Budget;1461
3196;Taxes;1462
3197;Déchets;1462
3198;Taxes;1463
3199;Audiovisuel;1463
3200;Budget;1463
3201;Recherche et innovation;1464
3202;Energies renouvelables;1464
3203;Energie nucléaire;1464
3204;Droit du travail;1465
3205;Tourisme/hôtellerie;1465
3206;Droit de la concurrence;1466
3207;Transport de voyageurs;1466
3208;Retraites;1467
3209;Transport de voyageurs;1468
3210;Transports alternatifs;1468
3211;Politique industrielle;1469
3212;Développement des territoires;1469
3213;Energies renouvelables;1469
3214;Budget;1469
3215;Transport de voyageurs;1470
3216;Dépollution;1470
3217;Energies fossiles;1470
3218;Taxes;1471
3219;Impôts;1471
3220;Remboursements;1472
3221;Médicaments;1472
3222;Soins et maladies;1472
3223;Système de santé et médico-social;1472
3224;Recherche et innovation;1472
3225;Dialogue social;1473
3226;Droit du travail;1473
3227;Droit du travail;1474
3228;Droit du travail;1475
3229;Soins et maladies;1476
3230;Système de santé et médico-social;1476
3231;Normes de production;1477
3232;Sécurité et normes alimentaires;1477
3233;Appellations;1477
3234;Industrie agroalimentaire;1477
3235;Accès à l’Internet;1478
3236;Accès aux moyens de télécommunications;1478
3237;Infrastructures de télécommunications;1478
3238;Politique industrielle;1478
3239;Transport de voyageurs;1479
3240;Transports alternatifs;1479
3241;Logement;1480
3242;Construction;1480
3243;Prévention;1481
3244;Soins et maladies;1481
3245;Sécurité et normes alimentaires;1481
3246;Taxes;1482
3247;Accès à l’Internet;1482
3248;Accès aux moyens de télécommunications;1482
3249;Infrastructures de télécommunications;1482
3250;Budget;1482
3251;Impôts;1483
3252;Energies renouvelables;1483
3253;Energies fossiles;1483
3254;Finances;1484
3255;Taxes;1484
3256;Droit de la concurrence;1484
3257;Politique industrielle;1484
3258;Industrie agroalimentaire;1484
3259;Dialogue social;1485
3260;PME/TPE;1485
3261;Droit du travail;1485
3262;Budget;1485
3263;Politique industrielle;1486
3264;Système de santé et médico-social;1486
3265;Recherche et innovation;1486
3266;Remboursements;1487
3267;Système de santé et médico-social;1487
3268;Produits chimiques;1488
3269;Politique industrielle;1488
3270;Construction;1488
3271;Recherche et innovation;1488
3272;Produits chimiques;1489
3273;Politique industrielle;1489
3274;Construction;1489
3275;Recherche et innovation;1489
3276;Prévention;1490
3277;Système de santé et médico-social;1490
3278;Remboursements;1491
3279;Médicaments;1491
3280;Soins et maladies;1491
3281;Système de santé et médico-social;1491
3282;Recherche et innovation;1491
3283;Soins et maladies;1492
3284;Système de santé et médico-social;1492
3285;Soins et maladies;1493
3286;Système de santé et médico-social;1493
3287;Assurances;1494
3288;Remboursements;1495
3289;Système de santé et médico-social;1495
3290;Politique industrielle;1496
3291;Agriculture;1496
3292;Politique industrielle;1497
3293;Protection des données;1497
3294;Politique industrielle;1498
3295;Energies renouvelables;1498
3296;Assurance chômage;1499
3297;Dialogue social;1499
3298;Droit du travail;1499
3299;Budget;1499
3300;Taxes;1500
3301;Transport de voyageurs;1500
3302;Impact des transports marchands et collectifs;1500
3303;Recherche et innovation;1500
3304;Prévention;1501
3305;Soins et maladies;1501
3306;Système de santé et médico-social;1501
3307;Prévention;1502
3308;Soins et maladies;1502
3309;Système de santé et médico-social;1502
3310;Politique industrielle;1503
3311;Energies renouvelables;1503
3312;Finances;1504
3313;Banques;1504
3314;Finances;1505
3315;Accès à la culture;1505
3316;Education;1505
3317;Taxes;1506
3318;Marchés réglementés;1506
3319;Energies renouvelables;1506
3320;Energies fossiles;1506
3321;Droit du travail;1507
3322;Prévention;1507
3323;Finances;1508
3324;Assurances;1508
3325;Banques;1508
3326;Industrie agroalimentaire;1509
3327;Agriculture;1509
3328;Taxes;1510
3329;Droit de la concurrence;1510
3330;Transport de voyageurs;1510
3331;Droit du travail;1510
3332;Impact des transports marchands et collectifs;1510
3333;Spectacle vivant;1511
3334;Marché du numérique;1511
3335;Publicité;1512
3336;Liberté d’expression et d’information;1512
3337;Droit d'auteur;1512
3338;Audiovisuel;1512
3339;Marché du numérique;1512
3340;Finances;1513
3341;Taxes;1513
3342;Banques;1513
3343;Accords internationaux;1513
3344;Publicité;1514
3345;Liberté d’expression et d’information;1514
3346;Droit d'auteur;1514
3347;Audiovisuel;1514
3348;Marché du numérique;1514
3349;Publicité;1515
3350;Liberté d’expression et d’information;1515
3351;Droit d'auteur;1515
3352;Audiovisuel;1515
3353;Marché du numérique;1515
3354;Publicité;1516
3355;Liberté d’expression et d’information;1516
3356;Droit d'auteur;1516
3357;Audiovisuel;1516
3358;Marché du numérique;1516
3359;Publicité;1517
3360;Liberté d’expression et d’information;1517
3361;Droit d'auteur;1517
3362;Audiovisuel;1517
3363;Marché du numérique;1517
3364;Finances;1518
3365;Assurances;1518
3366;Banques;1518
3367;Impôts;1519
3368;Energies renouvelables;1519
3369;Energies fossiles;1519
3370;Impôts;1520
3371;Energies renouvelables;1520
3372;Energies fossiles;1520
3373;Taxes;1521
3374;Droit de la concurrence;1521
3375;Transport de voyageurs;1521
3376;Droit du travail;1521
3377;Impact des transports marchands et collectifs;1521
3378;Taxes;1522
3379;Accès à l’Internet;1522
3380;Accès aux moyens de télécommunications;1522
3381;Infrastructures de télécommunications;1522
3382;Budget;1522
3383;Système de santé et médico-social;1523
3384;Industrie agroalimentaire;1523
3385;Spectacle vivant;1524
3386;Marché du numérique;1524
3387;Taxes;1525
3388;Transport de voyageurs;1525
3389;Impact des transports marchands et collectifs;1525
3390;Produits chimiques;1526
3391;Politique industrielle;1526
3392;Construction;1526
3393;Recherche et innovation;1526
3394;Taxes;1527
3395;Accès à l’Internet;1527
3396;Accès aux moyens de télécommunications;1527
3397;Infrastructures de télécommunications;1527
3398;Budget;1527
3399;Remboursements;1528
3400;Système de santé et médico-social;1528
3401;Produits chimiques;1529
3402;Politique industrielle;1529
3403;Construction;1529
3404;Recherche et innovation;1529
3405;Droits et libertés fondamentales;1530
3406;Humanitaire;1530
3407;Publicité;1531
3408;Liberté d’expression et d’information;1531
3409;Droit d'auteur;1531
3410;Audiovisuel;1531
3411;Marché du numérique;1531
3412;Prévention;1532
3413;Soins et maladies;1532
3414;Système de santé et médico-social;1532
3415;Finances;1533
3416;PME/TPE;1533
3417;Recherche et innovation;1533
3418;Budget;1533
3419;Logement;1534
3420;Construction;1534
3421;PME/TPE;1535
3422;Aides aux entreprises;1535
3423;Remboursements;1536
3424;Système de santé et médico-social;1536
3425;Transport de voyageurs;1537
3426;Transports alternatifs;1537
3427;Finances;1538
3428;Taxes;1538
3429;Banques;1538
3430;Accords internationaux;1538
3431;Finances;1539
3432;Budget;1539
3433;Droit du travail;1540
3434;Prévention;1540
3435;Sécurité nationale;1541
3436;Infrastructures;1541
3437;Politique industrielle;1542
3438;Protection des données;1542
3439;Assurances;1543
3440;Taxes;1544
3441;Marchés réglementés;1544
3442;Energies renouvelables;1544
3443;Energies fossiles;1544
3444;Remboursements;1545
3445;Médicaments;1545
3446;Soins et maladies;1545
3447;Système de santé et médico-social;1545
3448;Recherche et innovation;1545
3449;Politique industrielle;1546
3450;Système de santé et médico-social;1546
3451;Recherche et innovation;1546
3452;Politique industrielle;1547
3453;Agriculture;1547
3454;Politique industrielle;1548
3455;Energies renouvelables;1548
3456;Prévention;1549
3457;Soins et maladies;1549
3458;Sécurité et normes alimentaires;1549
3459;Logement;1550
3460;Energies renouvelables;1550
3461;Finances;1551
3462;Accès à la culture;1551
3463;Education;1551
3464;Finances;1552
3465;Taxes;1552
3466;Politique industrielle;1552
3467;Industrie agroalimentaire;1552
3468;Prévention;1553
3469;Soins et maladies;1553
3470;Système de santé et médico-social;1553
3471;Taxes;1554
3472;Déchets;1554
3473;Politique industrielle;1554
3474;Qualité de l'eau;1554
3475;Impact de l'activité industrielle;1554
3476;Taxes;1555
3477;Impôts;1555
3478;Finances;1556
3479;Budget;1556
3480;Assurance chômage;1557
3481;Dialogue social;1557
3482;Droit du travail;1557
3483;Budget;1557
3484;Soins et maladies;1558
3485;Système de santé et médico-social;1558
3486;Budget;1558
3487;Retraites;1559
3488;Taxes;1559
3489;Impôts;1559
3490;PME/TPE;1559
3491;Budget;1559
3492;Sports;1560
3493;Egalité femmes/hommes;1560
3494;Formation professionnelle;1561
3495;Formation professionnelle;1562
3496;Droit du travail;1563
3497;Droit du travail;1564
3498;Immigration;1564
3499;Assurance chômage;1565
3500;Droit du travail;1565
3501;Taxes;1566
3502;Formation professionnelle;1567
3503;Impôts;1568
3504;PME/TPE;1568
3505;Droit du travail;1568
3506;Aides aux entreprises;1568
3507;Tourisme/hôtellerie;1569
3508;Formation professionnelle;1569
3509;Assurance chômage;1570
3510;Tourisme/hôtellerie;1570
3511;Tourisme/hôtellerie;1571
3512;Formation professionnelle;1571
3513;Immigration;1571
3514;Cinéma;1572
3515;Cinéma;1573
3516;Politique industrielle;1574
3517;Impact des transports individuels;1574
3518;Politique industrielle;1575
3519;Impact des transports individuels;1575
3520;Politique industrielle;1576
3521;Impact des transports individuels;1576
3522;Politique industrielle;1577
3523;Sécurité routière;1577
3524;Finances;1578
3525;Politique industrielle;1578
3526;Taxes;1579
3527;Politique industrielle;1579
3528;Impact des transports individuels;1579
3529;Politique industrielle;1580
3530;Impact des transports marchands et collectifs;1580
3531;Politique industrielle;1581
3532;Politique industrielle;1582
3533;Protection des données;1582
3534;Politique industrielle;1583
3535;Politique industrielle;1584
3536;Impact de l'activité industrielle;1584
3537;Politique industrielle;1585
3538;Impact des transports individuels;1585
3539;Politique industrielle;1586
3540;Sécurité routière;1587
3541;Impact des transports individuels;1588
3542;Protection des données;1589
3543;Impact des transports individuels;1590
3544;Politique industrielle;1591
3545;Impact des transports individuels;1592
3546;Impact des transports individuels;1593
3547;Politique industrielle;1594
3548;Impact des transports individuels;1595
3549;Impact des transports individuels;1596
3550;Protection des données;1597
3551;Assurances;1598
3552;Sécurité routière;1599
3553;Médicaments;1600
3554;Médicaments;1601
3555;Sécurité et normes alimentaires;1602
3556;Industrie agroalimentaire;1602
3557;Logement;1603
3558;Construction;1603
3559;Marché du numérique;1604
3560;Remboursements;1605
3561;Remboursements;1606
3562;Politique industrielle;1607
3563;Système de santé et médico-social;1608
3564;Remboursements;1609
3565;Système de santé et médico-social;1609
3566;PME/TPE;1610
3567;Education;1611
3568;Formation professionnelle;1611
3569;PME/TPE;1612
3570;PME/TPE;1613
3571;PME/TPE;1614
3572;Education;1615
3573;Formation professionnelle;1615
3574;Développement des territoires;1615
3575;Education;1616
3576;Formation professionnelle;1616
3577;Développement des territoires;1616
3578;PME/TPE;1617
3579;Développement des territoires;1617
3580;PME/TPE;1618
3581;Education;1619
3582;Formation professionnelle;1619
3583;Education;1620
3584;Formation professionnelle;1620
3585;PME/TPE;1621
3586;Education;1622
3587;Formation professionnelle;1622
3588;PME/TPE;1623
3589;Education;1623
3590;Formation professionnelle;1623
3591;Produits chimiques;1624
3592;Bien-être animal;1624
3593;Impact de l'activité industrielle;1624
3594;Industrie agroalimentaire;1624
3595;Agriculture;1624
3596;Assurances;1625
3597;Développement des territoires;1625
3598;Agriculture;1625
3599;Produits chimiques;1626
3600;Qualité de l'eau;1626
3601;Agriculture;1626
3602;Occupation des sols;1627
3603;Développement des territoires;1627
3604;Agriculture;1627
3605;Taxes;1628
3606;Impôts;1628
3607;Dépollution;1628
3608;Développement des territoires;1628
3609;Agriculture;1628
3610;Marchés réglementés;1629
3611;Agriculture;1629
3612;Tourisme/hôtellerie;1630
3613;Bien-être animal;1630
3614;Développement des territoires;1630
3615;Agriculture;1630
3616;Finances;1631
3617;Agriculture;1631
3618;Budget;1631
3619;Eaux;1632
3620;Développement des territoires;1632
3621;Agriculture;1632
3622;Développement des territoires;1633
3623;Agriculture;1633
3624;Produits chimiques;1634
3625;Agriculture;1634
3626;Sécurité et normes alimentaires;1635
3627;Recherche et innovation;1635
3628;Industrie agroalimentaire;1635
3629;Développement des territoires;1635
3630;Agriculture;1635
3631;Agriculture;1636
3632;Budget;1636
3633;Développement des territoires;1637
3634;Agriculture;1637
3635;Développement des territoires;1638
3636;Agriculture;1638
3637;Droit du travail;1639
3638;Impôts;1640
3639;Dialogue social;1640
3640;Impôts;1641
3641;Impôts;1642
3642;Droit du travail;1642
3643;Droit du travail;1643
3644;Droit du travail;1644
3645;Droit du travail;1645
3646;Impôts;1646
3647;Impôts;1647
3648;Impôts;1648
3649;Impôts;1649
3650;Transport de voyageurs;1650
3651;Taxes;1651
3652;Fonction publique;1652
3653;Formation professionnelle;1653
3654;Système de santé et médico-social;1654
3655;Taxes;1655
3656;Système de santé et médico-social;1656
3657;Recherche et innovation;1657
3658;Recherche et innovation;1658
3659;Enseignement supérieur;1658
3660;Banques;1659
3661;Liberté d’expression et d’information;1659
3662;Droit d'auteur;1659
3663;Recherche et innovation;1659
3664;Protection des données;1659
3665;Agriculture;1660
3666;Finances;1661
3667;Agriculture;1662
3668;Agriculture;1663
3669;Agriculture;1664
3670;Logement;1665
3671;Droits et libertés fondamentales;1665
3672;Aide au développement;1665
3673;Egalité des chances;1665
3674;Immigration;1665
3675;Droits et libertés fondamentales;1666
3676;Droits et libertés fondamentales;1667
3677;Agriculture;1668
3678;Droits et libertés fondamentales;1669
3679;Droits et libertés fondamentales;1670
3680;Agriculture;1671
3681;Logement;1672
3682;Egalité des chances;1672
3683;Asile;1673
3684;Système de santé et médico-social;1673
3685;Famille;1673
3686;Immigration;1673
3687;Institutions pénitentiaires;1674
3688;Institutions judiciaires;1674
3689;Asile;1675
3690;Education;1675
3691;Immigration;1675
3692;Agriculture;1676
3693;Droits et libertés fondamentales;1677
3694;Droits et libertés fondamentales;1678
3695;Droits et libertés fondamentales;1679
3696;Droits et libertés fondamentales;1680
3697;Agriculture;1681
3698;Agriculture;1682
3699;Finances;1683
3700;Défense;1684
3701;Accès à l’Internet;1685
3702;Accès à l’Internet;1686
3703;Droits et libertés fondamentales;1687
3704;Défense;1688
3705;Assurance chômage;1689
3706;Droit du travail;1689
3707;Formation professionnelle;1689
3708;Logement;1690
3709;Droits et libertés fondamentales;1690
3710;Egalité des chances;1690
3711;Droit du travail;1691
3712;Système de santé et médico-social;1691
3713;Famille;1691
3714;Egalité des chances;1691
3715;Immigration;1691
3716;Banques;1692
3717;Discriminations;1692
3718;Egalité des chances;1692
3719;Asile;1693
3720;Droits des victimes;1693
3721;Droits et libertés fondamentales;1693
3722;Discriminations;1693
3723;Immigration;1693
3724;Asile;1694
3725;Droits des victimes;1694
3726;Immigration;1694
3727;Asile;1695
3728;Droits et libertés fondamentales;1695
3729;Immigration;1695
3730;Dialogue social;1696
3731;Droit du travail;1696
3732;Education;1696
3733;Formation professionnelle;1696
3734;Développement économique des outre-mer;1696
3735;Asile;1697
3736;Immigration;1697
3737;Institutions pénitentiaires;1698
3738;Institutions judiciaires;1698
3739;Institutions pénitentiaires;1699
3740;Institutions judiciaires;1699
3741;Asile;1700
3742;Immigration;1700
3743;Finances;1701
3744;Assurances;1701
3745;Banques;1701
3746;Principe de précaution;1702
3747;Impact des transports individuels;1702
3748;Impact des transports marchands et collectifs;1702
3749;Impact de l'activité industrielle;1702
3750;Agriculture;1702
3751;Immigration;1703
3752;Système de santé et médico-social;1704
3753;Droits et libertés fondamentales;1704
3754;Discriminations;1704
3755;Famille;1704
3756;Immigration;1704
3757;Dialogue social;1705
3758;Droit du travail;1705
3759;Education;1705
3760;Droits et libertés fondamentales;1706
3761;Défense;1707
3762;Sécurité nationale;1707
3763;Impôts;1708
3764;Droit du travail;1709
3765;Droit du travail;1710
3766;PME/TPE;1711
3767;Aides aux entreprises;1711
3768;Sécurité et normes alimentaires;1712
3769;Droit du travail;1713
3770;Egalité femmes/hommes;1713
3771;Finances;1714
3772;Finances;1715
3773;Finances;1716
3774;Logement;1717
3775;Logement;1718
3776;Logement;1719
3777;Logement;1720
3778;Logement;1721
3779;Musique;1722
3780;Musique;1723
3781;Musique;1724
3782;Produits chimiques;1725
3783;Infrastructures;1726
3784;Défense;1727
3785;Infrastructures;1728
3786;Défense;1729
3787;Impact de l'activité industrielle;1730
3788;Energie nucléaire;1731
3789;Agriculture;1732
3790;Agriculture;1733
3791;Industrie agroalimentaire;1734
3792;Agriculture;1734
3793;Industrie agroalimentaire;1735
3794;Agriculture;1735
3795;Système de santé et médico-social;1736
3796;PME/TPE;1737
3797;Marché du numérique;1738
3798;PME/TPE;1739
3799;Taxes;1740
3800;Taxes;1741
3801;PME/TPE;1742
3802;Formation professionnelle;1743
3803;Formation professionnelle;1744
3804;Formation professionnelle;1745
3805;Formation professionnelle;1746
3806;Formation professionnelle;1747
3807;Assurances;1748
3808;Assurances;1749
3809;Assurances;1750
3810;Assurances;1751
3811;Assurances;1752
3812;Assurances;1753
3813;Accidents et catastrophes naturelles;1754
3814;Assurances;1755
3815;Education;1756
3816;Assurances;1757
3817;Assurances;1758
3818;Formation professionnelle;1759
3819;Assurances;1760
3820;Taxes;1761
3821;Impôts;1762
3822;E-commerce;1762
3823;Impôts;1763
3824;Droit du travail;1763
3825;Droit du travail;1764
3826;Assurances;1765
3827;Sports;1765
3828;Fonction publique;1766
3829;Taxes;1767
3830;Aides aux entreprises;1767
3831;Finances;1768
3832;Impact de l'activité industrielle;1769
3833;Taxation;1770
3834;Finances;1771
3835;Principe de précaution;1772
3836;Finances;1773
3837;Taxes;1774
3838;Finances;1775
3839;Impact de l'activité industrielle;1776
3840;Formation professionnelle;1777
3841;Formation professionnelle;1778
3842;Formation professionnelle;1779
3843;Construction;1780
3844;Formation professionnelle;1781
3845;Formation professionnelle;1782
3846;Droit du travail;1783
3847;Taxation;1784
3848;Institutions judiciaires;1785
3849;Taxation;1786
3850;Agriculture;1787
3851;Droit du travail;1788
3852;Droit du travail;1789
3853;Développement des territoires;1790
3854;Ressources minières;1791
3855;Economie des outre-mer;1791
3856;Ressources minières;1792
3857;Economie des outre-mer;1792
3858;Energies renouvelables;1793
3859;Energies renouvelables;1794
3860;Energies renouvelables;1795
3861;Energies renouvelables;1796
3862;Energies renouvelables;1797
3863;Energies renouvelables;1798
3864;Energies renouvelables;1799
3865;Energies renouvelables;1800
3866;Energies renouvelables;1801
3867;Energies renouvelables;1802
3868;Energies renouvelables;1803
3869;Transport de fret;1804
3870;Sécurité routière;1804
3871;Taxes;1805
3872;Transport de fret;1805
3873;Impact des transports marchands et collectifs;1805
3874;Infrastructures;1805
3875;Transport de fret;1806
3876;Formation professionnelle;1806
3877;Collectivités territoriales;1806
3878;Taxes;1807
3879;Transport de fret;1807
3880;Taxes;1808
3881;Transport de fret;1808
3882;Aides aux entreprises;1808
3883;Impact des transports marchands et collectifs;1808
3884;Infrastructures;1808
3885;Transport de fret;1809
3886;Institutions européennes;1809
3887;Impact des transports marchands et collectifs;1809
3888;Transport de fret;1810
3889;Droit du travail;1810
3890;Formation professionnelle;1810
3891;Transport de fret;1811
3892;Sécurité routière;1811
3893;Infrastructures;1811
3894;Transport de fret;1812
3895;Institutions européennes;1812
3896;Accords internationaux;1812
3897;Transport de fret;1813
3898;Sécurité routière;1813
3899;Infrastructures;1813
3900;Taxes;1814
3901;Transport de fret;1814
3902;Impôts;1814
3903;Impact des transports marchands et collectifs;1814
3904;Transport de fret;1815
3905;Droit du travail;1815
3906;Transport de fret;1816
3907;Transport de fret;1817
3908;Transport de fret;1818
3909;Dialogue social;1818
3910;Transport de fret;1819
3911;Impact des transports marchands et collectifs;1819
3912;Transport de fret;1820
3913;Institutions européennes;1820
3914;Impact des transports marchands et collectifs;1820
3915;Transport de fret;1821
3916;Droit du travail;1821
3917;Taxes;1822
3918;Transport de fret;1822
3919;Transport de fret;1823
3920;Transport de fret;1824
3921;Logement;1825
3922;Construction;1825
3923;Logement;1826
3924;Construction;1826
3925;Forêt;1827
3926;Logement;1828
3927;Construction;1828
3928;Logement;1829
3929;Construction;1829
3930;Finances;1830
3931;Aides aux entreprises;1830
3932;Formation professionnelle;1830
3933;Fonction publique;1830
3934;Protection des données;1830
3935;Aides aux entreprises;1831
3936;Sports;1831
3937;Collectivités territoriales;1831
3938;Bâtiments et travaux publics;1832
3939;Sports;1832
