;civilite_collaborateur;fonction_collaborateur;nom_collaborateur;prenom_collaborateur;representants_id;nom_prenom_collaborateur
1682;M;Premier Vice-Président;SILBERMAN;Bruno;499;SILBERMAN Bruno
1683;M;Secrétaire général;DELESALLE;Jean-Christophe;499;DELESALLE Jean-Christophe
1684;M;Secrétaire général;LECLERC;Jean-Charles;499;LECLERC Jean-Charles
1685;M;Délégué général;VINCENT;Wilfrid;499;VINCENT Wilfrid
1686;MME;Secrétaire Générale;LESTOURNELLE;Caroline;500;LESTOURNELLE Caroline
1687;M;Président;DE MEULDER;Dirk;500;DE MEULDER Dirk
1688;M;;POILANE;Emmanuel;501;POILANE Emmanuel
1689;M;responsable Kurdistan et recherche de fonds;CHOMETTE;Jérémie;501;CHOMETTE Jérémie
1690;MME;Chargée de mission droit des peuples;VEBER;Marion;501;VEBER Marion
1691;MME;Chargé de mission eau bien commun;RICHER;Justine;501;RICHER Justine
1692;M;responsable relations institutionnelles;LAMOURE;Jean-Luc;502;LAMOURE Jean-Luc
1693;M;PRESIDENT;CLEDEL;Jean-François;502;CLEDEL Jean-François
1694;M;vice-président cci na, président groupe de travail mobilité et infrastructures cci na;MASSY;Pierre;502;MASSY Pierre
1695;M;vice président, président commission formation, emploi de la cci nouvelle-aquitaine;BRAUD;Daniel;502;BRAUD Daniel
1696;M;directeur général;CUISINIER-RAYNAL;Benoit;502;CUISINIER-RAYNAL Benoit
1697;M;Membre élu cci nouvelle-aquitaine, président commission cci international nouvelle-aquitaine;FAYAT;Jean-Claude;502;FAYAT Jean-Claude
1698;M;vice president cci na, president groupe de travail développement durable cci nouvelle-aquitaine;BRUGALIERES;Alain;502;BRUGALIERES Alain
1699;MME;1ère vice presidente cci nouvelle-aquitaine, présidente groupe de groupe de travail attractivité et commerce;CAYRE;Françoise;502;CAYRE Françoise
1700;M;directeur steatégie, developpement emploi et formation de la cci nouvelle-aquitaine;FAILLET;Marc;502;FAILLET Marc
1701;M;vice président cci nouvelle-aquitaine;JACQUEMAIN;Philippe;502;JACQUEMAIN Philippe
1702;M;vice président cci nouvelle-aquitaine;SEGUIN;Patrick;502;SEGUIN Patrick
1703;M;vice-président cci nouvelle-aquitaine;LAFOND;Claude;502;LAFOND Claude
1704;M;vice-président cci-nouvelle-aquitaine;LAPORTE;Didier;502;LAPORTE Didier
1705;M;vice-président cci nouvelle-aquitaine;FAUVEL;Christophe;502;FAUVEL Christophe
1706;M;vice-président cci nouvelle-aquitaine;GARRETA;André;502;GARRETA André
1707;M;"vice-président cci nouvelle-aquitaine; président de la commission CSDE de la cci nouvelle-aquitaine";DUTRUC;Philippe;502;DUTRUC Philippe
1708;M;vice -président cci nouvelle-aquitaine;FAUCHET;Herve;502;FAUCHET Herve
1709;M;vice-président cci nouvelle-aquitaine;HAUTIER;Thierry;502;HAUTIER Thierry
1710;M;"vice président cci nouvelle-aquitaine; président groupe de travail usine du futur";BEAUCHOUX;Gilles;502;BEAUCHOUX Gilles
1711;M;trésorier cci nouvelle-aquitaine;BIMBOIRE;Pantxoa;502;BIMBOIRE Pantxoa
1712;M;trésorier adjoint;PERRIN;François;502;PERRIN François
1713;M;secrétaire du bureau cci nouvelle-aquitaine;GRANGE;Agnès;502;GRANGE Agnès
1714;M;secrétaire du bureau cci nouvelle-aquitaine;MARCILLAUD;Serge;502;MARCILLAUD Serge
1715;M;Délégué Général;PONCELET;Olivier;503;PONCELET Olivier
1716;MME;Chargée de mission Affaires Publiques;LAURANDEL;Naïs;503;LAURANDEL Naïs
1717;M;Directeur associé;COMMAULT;Gaëtan;504;COMMAULT Gaëtan
1718;M;Expert senior;MAHON;Stéphane;504;MAHON Stéphane
1719;M;Directeur associé;DE VEDELLY;Laurent;504;DE VEDELLY Laurent
1720;MME;vice Président;BARRE-LESAUVAGE;Stéphanie;504;BARRE-LESAUVAGE Stéphanie
1721;MME;vice Président;LEVY;Vanessa;504;LEVY Vanessa
1722;MME;Consultante;DUBOIS;Charley;504;DUBOIS Charley
1723;MME;Directrice conseil;JOUBERT;Agathe;504;JOUBERT Agathe
1724;M;Consultant;LOZACH;Simon;504;LOZACH Simon
1725;MME;Directrice Conseil;MANDOUZE;Céline;504;MANDOUZE Céline
1726;MME;Directrice Conseil;PROT;Domitille;504;PROT Domitille
1727;M;Directeur conseil;TERRISSON;Arnaud;504;TERRISSON Arnaud
1728;M;vice Président;DUVERGE;Yannick;504;DUVERGE Yannick
1729;MME;Office Manager;CONTE;Anne-Marie;504;CONTE Anne-Marie
1730;MME;Directrice Conseil;VALLIN;Marine;504;VALLIN Marine
1731;MME;Directrice conseil;DE CHEZELLES;Emilie;504;DE CHEZELLES Emilie
1732;M;Président;GIUILY;Eric;504;GIUILY Eric
1733;MME;Co-Présidente;COUTUREAU;Elisabeth;504;COUTUREAU Elisabeth
1734;M;Senior advisor;BUR;Dominique;504;BUR Dominique
1735;M;Consultant;MASQUELIER;Dorian;504;MASQUELIER Dorian
1736;MME;Assistante de direction;REZZIK;Yamina;504;REZZIK Yamina
1737;M;Consultant;MARIE;Pierre;504;MARIE Pierre
1738;M;Consultant;BENCHEIKH;Gauthier;504;BENCHEIKH Gauthier
1739;MME;Consultante junior;NATIJ;Sara;504;NATIJ Sara
1740;M;Consultant junior;SZARZEWSKI;Antoine;504;SZARZEWSKI Antoine
1741;MME;Consultante junior;SAUVEUR;Valentine;504;SAUVEUR Valentine
1742;M;Directeur des affaires publiques;THILLAYE DU BOULLAY;Renaud;505;THILLAYE DU BOULLAY Renaud
1743;MME;Responsable Relations Institutionnelles;LE PALLEC;Sophie;506;LE PALLEC Sophie
1744;MME;;LE PALLEC;Sophie;506;LE PALLEC Sophie
1745;MME;Directrice;CHELLI;Salomé;507;CHELLI Salomé
1746;M;Consultant;LABRADOR;Louis;507;LABRADOR Louis
1747;MME;Junior Researcher;DUPIN;Raphaelle;507;DUPIN Raphaelle
1748;M;Junior Researcher;WILSON-BURKE;Hunter;507;WILSON-BURKE Hunter
1749;MME;Policy researcher;PEIGNEY;Agathe;507;PEIGNEY Agathe
1750;MME;Présidente;VAYTILINGOM;Eulalie;508;VAYTILINGOM Eulalie
1751;M;Délégué général;MARION;Roland;509;MARION Roland
1752;MME;;ESCULIER;Claire;510;ESCULIER Claire
1753;M;Responsable Syndical;HUET;Simon;511;HUET Simon
1754;M;Animateur conseiller syndical;GANGNEUX;Sylvain;511;GANGNEUX Sylvain
1755;M;Secrétaire général;DONCKELE;Stéphane;511;DONCKELE Stéphane
1756;M;Président;FAUCON;Patrice;511;FAUCON Patrice
1757;MME;Responsables des affaires publiques;TARNOT;Maud;512;TARNOT Maud
1758;MME;Directrice de la communication et des affaires publiques;COMBE;Sylvie;512;COMBE Sylvie
1759;MME;Déléguée Générale (ex);LEXCELLENT;Patricia;513;LEXCELLENT Patricia
1760;M;Président;LANDRIOT;Jacques;513;LANDRIOT Jacques
1761;M;Vice-Président;MONTAUT;Charles-Henri;513;MONTAUT Charles-Henri
1762;MME;Déléguée Générale;BELLAREDJ;Fatima;513;BELLAREDJ Fatima
1763;M;juriste conseil réseau;DHONT;Raphaël;513;DHONT Raphaël
1764;M;Secrétaire Général;CUCHET;Frédéric;514;CUCHET Frédéric
1765;M;Président;ROSY;Matthieu;514;ROSY Matthieu
1766;M;président directeur général;LECHANTEUR;Marcel;515;LECHANTEUR Marcel
1767;MME;Directrice de la Communication et des Affaires Publiques;AKIKI;Sabine;515;AKIKI Sabine
1768;M;Market Access Director;LARROUMETS;Pierre;516;LARROUMETS Pierre
1769;M;Délégué Général;BAILLEUL;Sébastien;517;BAILLEUL Sébastien
1770;M;Président;POILANE;Emmanuel;517;POILANE Emmanuel
1771;MME;Chargée Gestion Financiere;CHERRIER;Florence;517;CHERRIER Florence
1772;M;Directeur du développement de l'action syndicale;FAUCHER;Francois;518;FAUCHER Francois
1773;M;membre du conseil d'administration;BOUDIER;Sebastien;518;BOUDIER Sebastien
1774;M;membre du conseil d'administration;DESFORGES;Guillaume;518;DESFORGES Guillaume
1775;M;membre du conseil d'administration;ALAYRAC;Bertrand;518;ALAYRAC Bertrand
1776;M;membre du conseil d'administration;CHARLIER;Philippe;518;CHARLIER Philippe
1777;M;membre du conseil d'administration;JEAN;Ludovic;518;JEAN Ludovic
1778;M;membre du conseil d'administration;HOLVECK;Serge;518;HOLVECK Serge
1779;MME;membre du conseil d'administration;MAERTEN;Catherine;518;MAERTEN Catherine
1780;M;membre du conseil d'administration;REBER;Thomas;518;REBER Thomas
1781;M;membre du conseil d'administration;SAINT-ARROMAN;Patxi;518;SAINT-ARROMAN Patxi
1782;M;membre du conseil d'administration;VALLEE;Olivier;518;VALLEE Olivier
1783;M;membre du conseil d'administration;FIRMIN;Raphael;518;FIRMIN Raphael
1784;MME;membre du conseil d'administration;SOOPPAN;Sadrine;518;SOOPPAN Sadrine
1785;M;membre du conseil d'administration;ALBARIC;Vincent;518;ALBARIC Vincent
1786;MME;;RENAULT;Véronique;519;RENAULT Véronique
1787;MME;membre du conseil d'administration;ABELOOS;Catherine;519;ABELOOS Catherine
1788;MME;membre du conseil d'administration;AUTHELET;Chloé;519;AUTHELET Chloé
1789;M;membre du conseil d'administration;BAHAIN;Jean-François;519;BAHAIN Jean-François
1790;MME;membre du conseil d'administration;BOEHLER;Martine;519;BOEHLER Martine
1791;M;membre du conseil d'administration;CHASSERIAUD;Christian;519;CHASSERIAUD Christian
1792;M;membre du conseil d'administration;CHERIDI;Djamel;519;CHERIDI Djamel
1793;M;membre du conseil d'administration;COULAMA;Frédéric;519;COULAMA Frédéric
1794;M;membre du conseil d'administration;ANGOTTI;Matthieu;519;ANGOTTI Matthieu
1795;M;membre du conseil d'administration;ANANE;Arthur;519;ANANE Arthur
1796;M;membre du conseil d'administration;ANTOINE;Jean-Marc;519;ANTOINE Jean-Marc
1797;MME;membre du conseil d'administration;BASTIN-JOUBARD;Maryse;519;BASTIN-JOUBARD Maryse
1798;MME;membre du conseil d'administration;BOUYGUES;Marie-Hélène;519;BOUYGUES Marie-Hélène
1799;M;membre du conseil d'administration;DUMOULIN;Philippe;519;DUMOULIN Philippe
1800;M;Président - membre du conseil d'administration;GALLOIS;Louis;519;GALLOIS Louis
1801;MME;membre du conseil d'administration;KETTY-TOLA;Marie-Josée;519;KETTY-TOLA Marie-Josée
1802;M;membre du conseil d'administration;KUHN;Thierry;519;KUHN Thierry
1803;M;membre du conseil d'administration;LEFEBVRE;Fabrice;519;LEFEBVRE Fabrice
1804;M;membre du conseil d'administration;MAGGIORE;Aldo;519;MAGGIORE Aldo
1805;M;membre du conseil d'administration;PIERRE;Gilles;519;PIERRE Gilles
1806;M;membre du conseil d'administration;PLIEZ;Eric;519;PLIEZ Eric
1807;MME;membre du conseil d'administration;PONSIN;Christine;519;PONSIN Christine
1808;MME;membre du conseil d'administration;SERGENT;Rose-Marie;519;SERGENT Rose-Marie
1809;MME;membre du conseil d'administration;SILLIAU;Bernadette;519;SILLIAU Bernadette
1810;M;membre du conseil d'administration;SILVENTE;Francis;519;SILVENTE Francis
1811;M;Directeur général;GUEGUEN;Florent;519;GUEGUEN Florent
1812;M;Responsable Stratégie et analyse des politiques publiques;GOURSOLAS;Alexis;519;GOURSOLAS Alexis
1813;MME;membre du conseil d'administration;CHRETIEN;Eve;519;CHRETIEN Eve
1814;MME;Directrice du développement et des relations extérieures;LEVITTE;Emmanuelle;520;LEVITTE Emmanuelle
1815;M;Directeur;THIENARD;Denis;521;THIENARD Denis
1816;MME;Responsable des relations institutionnelles;GELARD;Emilie;522;GELARD Emilie
1817;M;Associé;D'AMÉCOURT;Paul;523;D'AMÉCOURT Paul
1818;M;Associé;BENOIST;Olivier;523;BENOIST Olivier
1819;MME;Consultante senior;ADJUTOR;Mathilde;523;ADJUTOR Mathilde
1820;M;;CHRÉTIEN;Anthony;524;CHRÉTIEN Anthony
1821;M;;BOCQUELET;Hubert;525;BOCQUELET Hubert
1822;MME;Animatrice syndicale;LE BORGNE;Annabelle;526;LE BORGNE Annabelle
1823;MME;Animatrice syndicale;CHARGE;Aurélie;526;CHARGE Aurélie
1824;MME;;CLOTILDE;Pinet;527;CLOTILDE Pinet
1825;MME;;D'ANTHONAY;Agnsè;528;D'ANTHONAY Agnsè
1826;M;Président Directeur Général;ABECASIS;João;528;ABECASIS João
1827;MME;Responsable des relations institutionnelles en Alsace;LACHI - NICORA;Céline;528;LACHI - NICORA Céline
1828;M;Président;GOJ;Philippe;529;GOJ Philippe
1829;M;Président Délégué à l'Electronique;BOSSARD;Jean-Louis;529;BOSSARD Jean-Louis
1830;M;;RONDIER;Arnaud;530;RONDIER Arnaud
1831;MME;Vice-Présidente des Jeunes Agriculteurs du Cher;JOSSERAND;Auréline;530;JOSSERAND Auréline
1832;M;Secrétaire Général des Jeunes Agriculteurs du Cher;CYPRÈS;Mathieu;530;CYPRÈS Mathieu
1833;MME;Technicienne animatrice;CARABIN;Joliane;531;CARABIN Joliane
1834;M;responsable business developement;LAMANT;Matthieu;532;LAMANT Matthieu
1835;M;Directeur des Affaires institutionnelles;SANTINI;Jean-Jacques;533;SANTINI Jean-Jacques
1836;M;Directeur des Affaires publiques France;ROUSSEAU;Philippe-Olivier;533;ROUSSEAU Philippe-Olivier
1837;M;Responsable des relations institutionnelles - Banque de détail France;BERTONNAUD;Laurent;533;BERTONNAUD Laurent
1838;M;Délégué Général;CHAPELON;Philippe;534;CHAPELON Philippe
1839;M;;LE POTIER;Nathan;535;LE POTIER Nathan
1840;M;;SUTTERLIN;Olivier;536;SUTTERLIN Olivier
1841;MME;Présidente;COLAS;Fabienne;537;COLAS Fabienne
1842;MME;Directrice;YEU;Marie;537;YEU Marie
1843;M;;POLGE;Olivier;538;POLGE Olivier
1844;M;;TRUPIN;Laurent;539;TRUPIN Laurent
1845;MME;consultant senior;AMZIANE;Mélissa;539;AMZIANE Mélissa
1846;M;Secrétaire;CAGET;Alexandre;540;CAGET Alexandre
1847;MME;Président;VINATIER;Sophie;540;VINATIER Sophie
1848;M;Président;GAIJI;Khaled;541;GAIJI Khaled
1849;MME;Chargée de mission senior - Régulation des multinationales;RENAUD;Juliette;541;RENAUD Juliette
1850;MME;Chargée de mission - Modes de production et consommation responsables;DUFOUR;Alma;541;DUFOUR Alma
1851;MME;Chargée de mission - Climat et acteurs publics;MARCHAND;Cécile;541;MARCHAND Cécile
1852;MME;Chargée de mission - Finance privée;PHILIPPOT;Lorette;541;PHILIPPOT Lorette
1853;MME;Chargée de mission - Agriculture et alimentation;SABLÉ;Anne-Laure;541;SABLÉ Anne-Laure
1854;M;Porte-parole forêts;ANGERAND;Sylvain;541;ANGERAND Sylvain
1855;MME;Chargée de mission Affaires européennes et institutionnelles;BONNICHON - DE RANCOURT;Catherine;542;BONNICHON - DE RANCOURT Catherine
1856;MME;;BIRI JULIEN;Sophie;543;BIRI JULIEN Sophie
1857;MME;Directrice générale;ABESCAT;Anne-Françoise;543;ABESCAT Anne-Françoise
1858;MME;Directrice de cabinet et des relations institutionnelles;PEYRICOT;Anne;544;PEYRICOT Anne
1859;MME;Directrice juridique;JOLY;Bérengère;544;JOLY Bérengère
1860;M;;TABEUR;Dominique;544;TABEUR Dominique
1861;M;Directeur technique;HOVORKA;Frank;544;HOVORKA Frank
1862;M;;PAGEOT;Pierre;545;PAGEOT Pierre
1863;M;President;LEGENDRE;Jean Philippe;546;LEGENDRE Jean Philippe
1864;M;Responsable Affaires Publiques;RUIMY;Emmanuel;546;RUIMY Emmanuel
1865;M;Directeur nord Europe;DEREUDRE;Eric;546;DEREUDRE Eric
1866;MME;Responsable Communication;MARQUES;Véronique;546;MARQUES Véronique
1867;MME;Déléguée Générale;FILHUE;Magali;547;FILHUE Magali
1868;MME;Secrétaire Générale;CADET;Christine;548;CADET Christine
1869;M;Directeur général;CAPITANT;Alexis;549;CAPITANT Alexis
1870;M;Président;SABRIE;Pascal;549;SABRIE Pascal
1871;MME;;PEREZ CASTELLANO;Pascale;549;PEREZ CASTELLANO Pascale
1872;MME;Direction;SCHWERDORFFER;Anne;550;SCHWERDORFFER Anne
1873;M;Directeur des relations insitutionnelles;HUMEZ;Nicolas;551;HUMEZ Nicolas
1874;MME;Chargée de missions;PACE;Isabelle;551;PACE Isabelle
1875;MME;;KUNTZ;Florence;552;KUNTZ Florence
1876;MME;;CHAUMONT;Magali;553;CHAUMONT Magali
1877;M;Président Commission-Membre du Bureau;DAYOT;Nicolas;553;DAYOT Nicolas
1878;M;Membre du Bureau - Président de la Commission Sociale;PESCHIER;Rémi;553;PESCHIER Rémi
1879;M;Membre du Bureau;KUSTERS;Gé;553;KUSTERS Gé
1880;MME;Secrétaire Général;CHAUMONT;Magali;553;CHAUMONT Magali
1881;M;Président;FERAUD;Guylhem;553;FERAUD Guylhem
1882;MME;Directrice juridique et des affaires publiques;ARTO;Clémence;554;ARTO Clémence
1883;M;Responsable des affaires publiques;LAURENCE;Philippe;554;LAURENCE Philippe
1884;M;Chargé de mission Affaires publiques;CHOUGUIAT;Adrien;555;CHOUGUIAT Adrien
1885;M;Chargé de mission Affaires européennes;RANAIVOSON;Gabriel;555;RANAIVOSON Gabriel
1886;MME;Représentante du Cercle de l'Industrie à Bruxelles;PORTALIER;Aurélie;555;PORTALIER Aurélie
1887;M;Chargé de mission Affaires européennes;VERU;Jonathan;555;VERU Jonathan
1888;M;Chargé de mission Affaires publiques;DIETTERT-MULLER;Théo;555;DIETTERT-MULLER Théo
1889;MME;Responsable Affaires publiques;GUILHOT;Claire;555;GUILHOT Claire
1890;MME;;COULOUVRAT;Aline;556;COULOUVRAT Aline
1891;MME;Consultante;DUPONT;Alice;556;DUPONT Alice
1892;M;Directeur;MANO;Jean-Luc;556;MANO Jean-Luc
1893;MME;Consultante;AHMADI KERMANSHAHANI;Ariane;556;AHMADI KERMANSHAHANI Ariane
1894;MME;;FOUGOU;Stéphanie;557;FOUGOU Stéphanie
1895;MME;;TSATSANIS;Coralie;557;TSATSANIS Coralie
1896;M;Responsable marketing;CASSAIGNAU;Arthur;558;CASSAIGNAU Arthur
1897;MME;Senior Manager, Government Affairs & Public policy, France;ROBIN;Julie;559;ROBIN Julie
1898;MME;Déléguée Générale;MARTIN;Christelle;560;MARTIN Christelle
1899;M;Chargé de Mission;CEJKA;Pierre;560;CEJKA Pierre
1900;M;Président;NIBOUREL;Christian;560;NIBOUREL Christian
1901;M;Président Commission Economie et Fiscalité;CALMELS;Dominique;560;CALMELS Dominique
1902;M;Directeur market access;ROUX;Emmanuel;561;ROUX Emmanuel
1903;M;Président Directeur Général;SAADÉ;Rodolphe;562;SAADÉ Rodolphe
1904;MME;Directeur Général Délégué;SAADÉ;Tanya;562;SAADÉ Tanya
1905;M;Conseiller institutionnel pour la politique maritime;TALLEC;Jean-François;562;TALLEC Jean-François
1906;M;Conseiller institutionnel;GERAULT;Jacques;562;GERAULT Jacques
1907;M;Chargé de mission pour les relations institutionnelles;FELD;Charles;562;FELD Charles
1908;M;Conseiller institutionnel;SERRE;Georges;562;SERRE Georges
1909;M;Co-Président;BLANCHARD;Romain;563;BLANCHARD Romain
1910;MME;Co-Présidente;POULET;Camille;563;POULET Camille
1911;M;Chargé de mission Relations Institutionnelles;FENIEYS;Guilhem;564;FENIEYS Guilhem
1912;M;Directeur de l'action politique;MUSSO;Cédric;564;MUSSO Cédric
1913;M;Président;BAZOT;Alain;564;BAZOT Alain
1914;M;Responsable du département des études;ESCOT;Mathieu;564;ESCOT Mathieu
1915;M;Responsable adjoint du département des études;AUTIER;Antoine;564;AUTIER Antoine
1916;M;Chargé de mission banque / assurance;ROBIN;Matthieu;564;ROBIN Matthieu
1917;M;Chargé de mission alimentation / agriculture;ANDRAULT;Olivier;564;ANDRAULT Olivier
1918;M;secrétaire général;DUPUIS;Gwénaël;565;DUPUIS Gwénaël
1919;MME;Secrétaire Générale;RODET;Florence;566;RODET Florence
1920;M;Responsable des Affaires Publiques;RICHARD;Hugo;567;RICHARD Hugo
1921;M;Directeur général Airbnb France;MARILL;Emmanuel;568;MARILL Emmanuel
1922;MME;Directrice des affaires publiques;LANGLAIS;Juliette;568;LANGLAIS Juliette
1923;MME;Responsable affaires publiques;PROT;Sarah;568;PROT Sarah
1924;M;Legal Counsel;AVIGNON;Franck;568;AVIGNON Franck
1925;M;Responsable des relations institutionnelles pour la communauté;BARYLA;Jean;568;BARYLA Jean
1926;M;;GARNIER;Francois;569;GARNIER Francois
1927;M;President;DE GARIDEL;Marc;569;DE GARIDEL Marc
1928;M;Directeur Général;MEEK;David;569;MEEK David
1929;M;Directeur général;GALLON;Jeremie;570;GALLON Jeremie
1930;MME;Directrice des affaires publiques et relations gouvernementales;CLAUSER;Mathilde;570;CLAUSER Mathilde
1931;MME;Specialiste des affaires publiques et relations gouvernementales;MOULIÉ;Louise;570;MOULIÉ Louise
1932;M;Secrétaire Général;PASCAL;Luc;571;PASCAL Luc
1933;MME;secrétaire générale;JOUAILLEC;Maryline;572;JOUAILLEC Maryline
1934;M;Directeur;JUERY;Joel;573;JUERY Joel
1935;M;Directeur Général;VANHOVE;Christophe;574;VANHOVE Christophe
1936;M;PDG;LE CAIGNEC;Herve;574;LE CAIGNEC Herve
1937;MME;;NAETT;Caroline;575;NAETT Caroline
1938;M;Délégué général;LAMBERT;François;576;LAMBERT François
1939;M;Délégué Communication et Relations Publiques;ORJUBIN;Jacques;576;ORJUBIN Jacques
1940;M;Responsable des relations institutionnelles et des affaires de défense;CROCE;Herve;576;CROCE Herve
1941;M;Délégué Communication et Relations Publiques;ORJUBIN;Jacques;576;ORJUBIN Jacques
1942;M;Secrétaire général;CHAUMET;Maxime;577;CHAUMET Maxime
1943;M;Directeur de Cabinet;DELMOTTE;Bruno;578;DELMOTTE Bruno
1944;MME;Chargée de missions - Relations Parlementaires;ORSONNEAU - TIRÉ;Sophie;578;ORSONNEAU - TIRÉ Sophie
1945;M;Délégué Institutions publiques;FABRE;Laurent;579;FABRE Laurent
1946;M;;FABRE;Laurent;579;FABRE Laurent
1947;M;;VAN CORNEWAL;Pierre;580;VAN CORNEWAL Pierre
1948;M;Chargé des relations adhérents et de l'animation du réseau;WACKENIER;Fabrice;580;WACKENIER Fabrice
1949;M;Délégué général;ROGERS BOUTBIEN;Gilles;581;ROGERS BOUTBIEN Gilles
1950;MME;Présidente;HEDON;Claire;582;HEDON Claire
1951;MME;Vice-Présidente;GRARD;Marie-Aleth;582;GRARD Marie-Aleth
1952;M;Délégué national;LALLEMENT;Pascal;582;LALLEMENT Pascal
1953;M;Délégué national;MARECHAL;Paul;582;MARECHAL Paul
1954;MME;Déléguée nationale;BOUYER;Isabelle;582;BOUYER Isabelle
1955;M;Délégué national;AMOROTTI;Guillaume;582;AMOROTTI Guillaume
1956;M;Président;VIDAL;Guy;583;VIDAL Guy
1957;M;Secrétaire général;BONNEAU;Alexandre;584;BONNEAU Alexandre
1958;MME;Responsable scientifique et technique;GUILLOCHON;Mathilde;584;GUILLOCHON Mathilde
1959;M;;AGUILERA;Vincent;585;AGUILERA Vincent
1960;MME;Secrétaire Générale;LEMAIRE;Valerie;585;LEMAIRE Valerie
1961;M;Directeur Général;ROUX;Michel;586;ROUX Michel
1962;M;Directeur des Affaires Publiques et des Relations Extérieures;CHAUSSON;Frédéric;587;CHAUSSON Frédéric
1963;M;Président;LACOMBE;Damien;587;LACOMBE Damien
1964;M;Vice-Président;LOISEAU;Didier;587;LOISEAU Didier
1965;M;Administrateur;PRIGENT;Jean-Paul;587;PRIGENT Jean-Paul
1966;M;Administrateur;NIZAN;Pascal;587;NIZAN Pascal
1967;M;Administrateur;GAFFET;Olivier;587;GAFFET Olivier
1968;M;Administrateur;RECHENMANN;Michel;587;RECHENMANN Michel
1969;M;Administrateur;JAVELLE;Jean-Michel;587;JAVELLE Jean-Michel
1970;M;Administrateur;LANUQUE;Thierry;587;LANUQUE Thierry
1971;M;Administrateur;AUBERT;Jérôme;587;AUBERT Jérôme
1972;M;Président;DUGAST;Antoine;588;DUGAST Antoine
1973;MME;1ère Vice-présidente en charge de l'enseignement supérieur;BERCY;Marine;588;BERCY Marine
1974;M;Trésorier;CHICHE;Yohan;588;CHICHE Yohan
1975;M;Secrétaire général;AGULLO;Bastien;588;AGULLO Bastien
1976;MME;Secrétaire générale adjointe;BROCARD;Charline;588;BROCARD Charline
1977;M;Chargé de mission enseignement supérieur;LANGLAIS;Léo;588;LANGLAIS Léo
1978;MME;Vice-présidente en charge des affaires sanitaires et sociales;GUIVARCH;Maëlle;588;GUIVARCH Maëlle
1979;M;Chargé de mission élections et suivi des élus;BUISSON;Paul;588;BUISSON Paul
1980;M;Vice-président en charge du tutorat;CHAUVIN;Thomas;588;CHAUVIN Thomas
1981;M;Vice-président en charge des questions scientifiques;GALHARRET;Yoann;588;GALHARRET Yoann
1982;MME;Vice-présidente en charge de la communication;MASSELIN;Lou;588;MASSELIN Lou
1983;MME;Vice-présidente en charge de la publication et chargée de mission DROM-COM;SENET;Juliette;588;SENET Juliette
1984;M;Vice-président en charge de l'Île-de-France et chargé de mission déficients visuels;BARBIER;Antoine;588;BARBIER Antoine
1985;MME;Vice-présidente en charge des affaires internationales;VIRAPIN;Laurène;588;VIRAPIN Laurène
1986;M;Vice-président en charge de la stratégie de financement de notre formation;HARSCOUËT;Paul;588;HARSCOUËT Paul
1987;M;Chargé de mission stratégie de financement de notre formation;ABIDJI;Carl;588;ABIDJI Carl
1988;M;Attaché de presse;BRISOU;Morgan;588;BRISOU Morgan
1989;MME;Chargée de mission webmaster;FRIGO;Léa;588;FRIGO Léa
1990;MME;Vice-présidente en charge des questions de prévention, citoyenneté, jeunesse et solidarité;CABON;Aurore;588;CABON Aurore
1991;M;Vice-président en charge des partenariats;PINOT;Mathieu;588;PINOT Mathieu
1992;MME;Vice-présidente en charge de la formation;FURSTOSS;Morgane;588;FURSTOSS Morgane
1993;M;Vice-président en charge des droits et conseils aux étudiants;RENIEBLAS;Philippe;588;RENIEBLAS Philippe
1994;M;Directeur France;CRESPIN;Benoit;589;CRESPIN Benoit
1995;M;General Counsel;TEISSONNIÈRE;Guillaume;589;TEISSONNIÈRE Guillaume
1996;M;Président-Délégué général;DOTTELONDE;Stéphane;590;DOTTELONDE Stéphane
1997;MME;Chargée du secrétariat général;SORLOT;Laure;590;SORLOT Laure
1998;M;Juriste;DOUMERC;Charles-Henri;590;DOUMERC Charles-Henri
1999;MME;Déléguée Générale;LORIMY;Julie;591;LORIMY Julie
2000;MME;Directrice Générale;THUNE;Florence;592;THUNE Florence
2001;MME;Chargée de plaidoyer;SAINT GAL;Anais;592;SAINT GAL Anais
2002;M;DG délégué;NOBILEAU;Christophe;593;NOBILEAU Christophe
2003;M;Président;SIMMONEAU;Denis;594;SIMMONEAU Denis
2004;MME;Déléguée générale;MOROZOVA-FRIHA;Lena;594;MOROZOVA-FRIHA Lena
2005;MME;Directrice des études;BERNARD;Elise;594;BERNARD Elise
2006;M;Responsable Affaires Publiques et Communication;BREYSSE;Jérôme;595;BREYSSE Jérôme
2007;MME;Responsable Réglementaire;MATHIEU;Claudie;595;MATHIEU Claudie
2008;MME;Responsable Réglementaire;LIEBERT;Clémence;595;LIEBERT Clémence
2009;M;Responsable Réglementaire;LEGAY;François;595;LEGAY François
2010;MME;Déléguée Générale;LAJOUS;Carole;595;LAJOUS Carole
2011;M;Conseiller défense;DELEPOULLE;Eric;596;DELEPOULLE Eric
2012;M;Administrateur;DE MASFRAND;Philippe;596;DE MASFRAND Philippe
2013;M;Co-Président;GRAINDORGE;Alexis;597;GRAINDORGE Alexis
2014;M;Président CPME 56;DOZOUL;Claude;598;DOZOUL Claude
2015;MME;Relations Entreprises et Institutionnels;BARBAROT;Ana;598;BARBAROT Ana
