;action_menee;action_representation_interet_id;action_menee_autre
1025;Organiser des discussions informelles ou des réunions en tête-à-tête;469;
1026;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;469;
1027;Etablir une correspondance régulière (par courriel, par courrier…);469;
1028;Organiser des auditions, des consultations formelles sur des actes législatifs ou d'autres consultations ouvertes;470;
1029;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;471;
1030;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;471;
1031;Organiser des auditions, des consultations formelles sur des actes législatifs ou d'autres consultations ouvertes;471;
1032;Etablir une correspondance régulière (par courriel, par courrier…);471;
1033;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;472;
1034;Organiser des auditions, des consultations formelles sur des actes législatifs ou d'autres consultations ouvertes;472;
1035;Etablir une correspondance régulière (par courriel, par courrier…);472;
1036;Organiser des discussions informelles ou des réunions en tête-à-tête;473;
1037;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;473;
1038;Organiser des discussions informelles ou des réunions en tête-à-tête;474;
1039;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;474;
1040;Etablir une correspondance régulière (par courriel, par courrier…);475;
1041;Organiser des discussions informelles ou des réunions en tête-à-tête;476;
1042;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;476;
1043;Etablir une correspondance régulière (par courriel, par courrier…);477;
1044;Etablir une correspondance régulière (par courriel, par courrier…);478;
1045;Organiser des discussions informelles ou des réunions en tête-à-tête;479;
1046;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;479;
1047;Etablir une correspondance régulière (par courriel, par courrier…);480;
1048;Etablir une correspondance régulière (par courriel, par courrier…);481;
1049;Etablir une correspondance régulière (par courriel, par courrier…);482;
1050;Organiser des discussions informelles ou des réunions en tête-à-tête;483;
1051;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;483;
1052;Etablir une correspondance régulière (par courriel, par courrier…);484;
1053;Etablir une correspondance régulière (par courriel, par courrier…);485;
1054;Organiser des discussions informelles ou des réunions en tête-à-tête;486;
1055;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;486;
1056;Etablir une correspondance régulière (par courriel, par courrier…);487;
1057;Etablir une correspondance régulière (par courriel, par courrier…);488;
1058;Organiser des discussions informelles ou des réunions en tête-à-tête;489;
1059;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;489;
1060;Etablir une correspondance régulière (par courriel, par courrier…);490;
1061;Organiser des discussions informelles ou des réunions en tête-à-tête;491;
1062;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;491;
1063;Organiser des discussions informelles ou des réunions en tête-à-tête;492;
1064;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;492;
1065;Etablir une correspondance régulière (par courriel, par courrier…);493;
1066;Organiser des discussions informelles ou des réunions en tête-à-tête;494;
1067;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;494;
1068;Organiser des discussions informelles ou des réunions en tête-à-tête;495;
1069;Etablir une correspondance régulière (par courriel, par courrier…);495;
1070;Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;496;
1071;Organiser des discussions informelles ou des réunions en tête-à-tête;497;
1072;Organiser des discussions informelles ou des réunions en tête-à-tête;498;
1073;Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;498;
1074;Organiser des discussions informelles ou des réunions en tête-à-tête;499;
1075;Organiser des discussions informelles ou des réunions en tête-à-tête;500;
1076;Etablir une correspondance régulière (par courriel, par courrier…);501;
1077;Autres : à préciser;502;Participation à la réunion de présentation des orientations du projet de rapport relatif à la mission VUL du député Damien PICHEREAU 
1078;Organiser des discussions informelles ou des réunions en tête-à-tête;503;
1079;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;503;
1080;Organiser des discussions informelles ou des réunions en tête-à-tête;504;
1081;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;504;
1082;Etablir une correspondance régulière (par courriel, par courrier…);505;
1083;Organiser des discussions informelles ou des réunions en tête-à-tête;506;
1084;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;506;
1085;Organiser des discussions informelles ou des réunions en tête-à-tête;507;
1086;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;507;
1087;Autres : à préciser;508;Participation à une réunion ministérielle 
1088;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;509;
1089;Autres : à préciser;510;Participation à une réunion interministérielle 
1090;Autres : à préciser;511;Participer à une réunion de concertation organisée par le Directeur de Cabinet 
1091;Envoyer des pétitions, lettres ouvertes, tracts;512;
1092;Etablir une correspondance régulière (par courriel, par courrier…);513;
1093;Etablir une correspondance régulière (par courriel, par courrier…);514;
1094;Etablir une correspondance régulière (par courriel, par courrier…);515;
1095;Organiser des discussions informelles ou des réunions en tête-à-tête;516;
1096;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;516;
1097;Etablir une correspondance régulière (par courriel, par courrier…);517;
1098;Organiser des discussions informelles ou des réunions en tête-à-tête;518;
1099;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;518;
1100;Autres : à préciser;519;Participation à une réunion ministérielle 
1101;Etablir une correspondance régulière (par courriel, par courrier…);520;
1102;Autres : à préciser;521;Participer à une réunion ministérielle 
1103;Etablir une correspondance régulière (par courriel, par courrier…);522;
1104;Organiser des discussions informelles ou des réunions en tête-à-tête;523;
1105;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;523;
1106;Autres : à préciser;524;Participation à une réunion interministérielle 
1107;Etablir une correspondance régulière (par courriel, par courrier…);525;
1108;Etablir une correspondance régulière (par courriel, par courrier…);526;
1109;Organiser des discussions informelles ou des réunions en tête-à-tête;527;
1110;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;527;
1111;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;527;
1112;Organiser des débats publics, des marches, des stratégies d'influence sur internet;527;
1113;Etablir une correspondance régulière (par courriel, par courrier…);527;
1114;Organiser des discussions informelles ou des réunions en tête-à-tête;528;
1115;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;528;
1116;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;528;
1117;Organiser des débats publics, des marches, des stratégies d'influence sur internet;528;
1118;Envoyer des pétitions, lettres ouvertes, tracts;528;
1119;Etablir une correspondance régulière (par courriel, par courrier…);528;
1120;Organiser des discussions informelles ou des réunions en tête-à-tête;529;tout lien avec l'aide publique au développement
1121;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;529;tout lien avec l'aide publique au développement
1122;Organiser des débats publics, des marches, des stratégies d'influence sur internet;529;tout lien avec l'aide publique au développement
1123;Organiser des discussions informelles ou des réunions en tête-à-tête;530;
1124;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;530;
1125;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;530;
1126;Organiser des débats publics, des marches, des stratégies d'influence sur internet;530;
1127;Etablir une correspondance régulière (par courriel, par courrier…);530;
1128;Organiser des discussions informelles ou des réunions en tête-à-tête;531;
1129;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;531;
1130;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;531;
1131;Etablir une correspondance régulière (par courriel, par courrier…);531;
1132;Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;531;
1133;Organiser des discussions informelles ou des réunions en tête-à-tête;532;
1134;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;532;
1135;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;532;
1136;Organiser des débats publics, des marches, des stratégies d'influence sur internet;532;
1137;Etablir une correspondance régulière (par courriel, par courrier…);532;
1138;Organiser des discussions informelles ou des réunions en tête-à-tête;533;tout lien avec l'aide publique au développement
1139;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;533;tout lien avec l'aide publique au développement
1140;Organiser des débats publics, des marches, des stratégies d'influence sur internet;533;tout lien avec l'aide publique au développement
1141;Organiser des discussions informelles ou des réunions en tête-à-tête;534;
1142;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;534;
1143;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;534;
1144;Organiser des débats publics, des marches, des stratégies d'influence sur internet;534;
1145;Envoyer des pétitions, lettres ouvertes, tracts;534;
1146;Etablir une correspondance régulière (par courriel, par courrier…);534;
1147;Organiser des discussions informelles ou des réunions en tête-à-tête;535;
1148;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;535;
1149;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;535;
1150;Etablir une correspondance régulière (par courriel, par courrier…);535;
1151;Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;535;
1152;Organiser des discussions informelles ou des réunions en tête-à-tête;536;tout lien avec l'aide publique au développement
1153;Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;536;tout lien avec l'aide publique au développement
1154;Organiser des discussions informelles ou des réunions en tête-à-tête;537;
1155;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;537;
1156;Organiser des débats publics, des marches, des stratégies d'influence sur internet;537;
1157;Envoyer des pétitions, lettres ouvertes, tracts;537;
1158;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;538;
1159;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;539;
1160;Organiser des discussions informelles ou des réunions en tête-à-tête;540;
1161;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;540;
1162;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;540;
1163;Organiser des auditions, des consultations formelles sur des actes législatifs ou d'autres consultations ouvertes;540;
1164;Etablir une correspondance régulière (par courriel, par courrier…);540;
1165;Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;540;
1166;Organiser des discussions informelles ou des réunions en tête-à-tête;541;
1167;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;541;
1168;Organiser des auditions, des consultations formelles sur des actes législatifs ou d'autres consultations ouvertes;541;
1169;Envoyer des pétitions, lettres ouvertes, tracts;541;
1170;Etablir une correspondance régulière (par courriel, par courrier…);541;
1171;Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;541;
1172;Organiser des débats publics, des marches, des stratégies d'influence sur internet;542;
1173;Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;542;
1174;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;543;
1175;Organiser des auditions, des consultations formelles sur des actes législatifs ou d'autres consultations ouvertes;543;
1176;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;544;
1177;Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;544;
1178;Organiser des discussions informelles ou des réunions en tête-à-tête;545;
1179;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;545;
1180;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;545;
1181;Organiser des auditions, des consultations formelles sur des actes législatifs ou d'autres consultations ouvertes;545;
1182;Etablir une correspondance régulière (par courriel, par courrier…);545;
1183;Organiser des discussions informelles ou des réunions en tête-à-tête;546;
1184;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;546;
1185;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;546;
1186;Organiser des auditions, des consultations formelles sur des actes législatifs ou d'autres consultations ouvertes;546;
1187;Organiser des débats publics, des marches, des stratégies d'influence sur internet;546;
1188;Envoyer des pétitions, lettres ouvertes, tracts;546;
1189;Etablir une correspondance régulière (par courriel, par courrier…);546;
1190;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;547;
1191;Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;547;
1192;Organiser des discussions informelles ou des réunions en tête-à-tête;548;
1193;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;548;
1194;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;548;
1195;Organiser des auditions, des consultations formelles sur des actes législatifs ou d'autres consultations ouvertes;548;
1196;Etablir une correspondance régulière (par courriel, par courrier…);548;
1197;Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;549;
1198;Organiser des discussions informelles ou des réunions en tête-à-tête;550;
1199;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;550;
1200;Organiser des discussions informelles ou des réunions en tête-à-tête;551;
1201;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;551;
1202;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;551;
1203;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;552;
1204;Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;552;
1205;Organiser des discussions informelles ou des réunions en tête-à-tête;553;
1206;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;553;
1207;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;553;
1208;Organiser des discussions informelles ou des réunions en tête-à-tête;554;
1209;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;554;
1210;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;554;
1211;Organiser des auditions, des consultations formelles sur des actes législatifs ou d'autres consultations ouvertes;554;
1212;Organiser des débats publics, des marches, des stratégies d'influence sur internet;554;
1213;Etablir une correspondance régulière (par courriel, par courrier…);554;
1214;Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;554;
1215;Organiser des discussions informelles ou des réunions en tête-à-tête;555;
1216;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;555;
1217;Organiser des débats publics, des marches, des stratégies d'influence sur internet;555;
1218;Envoyer des pétitions, lettres ouvertes, tracts;555;
1219;Etablir une correspondance régulière (par courriel, par courrier…);555;
1220;Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;555;
1221;Organiser des discussions informelles ou des réunions en tête-à-tête;556;
1222;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;556;
1223;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;556;
1224;Etablir une correspondance régulière (par courriel, par courrier…);556;
1225;Organiser des auditions, des consultations formelles sur des actes législatifs ou d'autres consultations ouvertes;557;
1226;Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;558;
1227;Organiser des discussions informelles ou des réunions en tête-à-tête;559;
1228;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;559;
1229;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;559;
1230;Etablir une correspondance régulière (par courriel, par courrier…);559;
1231;Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;559;
1232;Organiser des discussions informelles ou des réunions en tête-à-tête;560;
1233;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;560;
1234;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;560;
1235;Etablir une correspondance régulière (par courriel, par courrier…);560;
1236;Organiser des discussions informelles ou des réunions en tête-à-tête;561;
1237;Organiser des discussions informelles ou des réunions en tête-à-tête;562;
1238;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;562;
1239;Etablir une correspondance régulière (par courriel, par courrier…);562;
1240;Organiser des discussions informelles ou des réunions en tête-à-tête;563;
1241;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;563;
1242;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;563;
1243;Organiser des auditions, des consultations formelles sur des actes législatifs ou d'autres consultations ouvertes;563;
1244;Envoyer des pétitions, lettres ouvertes, tracts;563;
1245;Etablir une correspondance régulière (par courriel, par courrier…);563;
1246;Convenir pour un tiers d'une entrevue avec le titulaire d'une charge publique;563;
1247;Organiser des discussions informelles ou des réunions en tête-à-tête;564;
1248;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;564;
1249;Organiser des auditions, des consultations formelles sur des actes législatifs ou d'autres consultations ouvertes;564;
1250;Etablir une correspondance régulière (par courriel, par courrier…);564;
1251;Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;564;
1252;Organiser des discussions informelles ou des réunions en tête-à-tête;565;
1253;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;565;
1254;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;565;
1255;Organiser des auditions, des consultations formelles sur des actes législatifs ou d'autres consultations ouvertes;565;
1256;Organiser des débats publics, des marches, des stratégies d'influence sur internet;565;
1257;Envoyer des pétitions, lettres ouvertes, tracts;565;
1258;Etablir une correspondance régulière (par courriel, par courrier…);565;
1259;Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;565;
1260;Organiser des discussions informelles ou des réunions en tête-à-tête;566;
1261;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;566;
1262;Organiser des auditions, des consultations formelles sur des actes législatifs ou d'autres consultations ouvertes;566;
1263;Organiser des débats publics, des marches, des stratégies d'influence sur internet;566;
1264;Etablir une correspondance régulière (par courriel, par courrier…);566;
1265;Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;566;
1266;Organiser des discussions informelles ou des réunions en tête-à-tête;567;
1267;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;567;
1268;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;567;
1269;Organiser des auditions, des consultations formelles sur des actes législatifs ou d'autres consultations ouvertes;567;
1270;Organiser des débats publics, des marches, des stratégies d'influence sur internet;567;
1271;Envoyer des pétitions, lettres ouvertes, tracts;567;
1272;Etablir une correspondance régulière (par courriel, par courrier…);567;
1273;Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;567;
1274;Organiser des discussions informelles ou des réunions en tête-à-tête;568;
1275;Organiser des discussions informelles ou des réunions en tête-à-tête;569;
1276;Organiser des discussions informelles ou des réunions en tête-à-tête;570;
1277;Autres : à préciser;571;Organiser des discussions formelles avec le décideur public. 
1278;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;571;Organiser des discussions formelles avec le décideur public. 
1279;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;571;Organiser des discussions formelles avec le décideur public. 
1280;Etablir une correspondance régulière (par courriel, par courrier…);571;Organiser des discussions formelles avec le décideur public. 
1281;Autres : à préciser;572;Organiser des discussions formelles avec le décideur public. 
1282;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;572;Organiser des discussions formelles avec le décideur public. 
1283;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;572;Organiser des discussions formelles avec le décideur public. 
1284;Etablir une correspondance régulière (par courriel, par courrier…);572;Organiser des discussions formelles avec le décideur public. 
1285;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;573;
1286;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;573;
1287;Organiser des auditions, des consultations formelles sur des actes législatifs ou d'autres consultations ouvertes;573;
1288;Etablir une correspondance régulière (par courriel, par courrier…);573;
1289;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;574;
1290;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;574;
1291;Etablir une correspondance régulière (par courriel, par courrier…);574;
1292;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;575;
1293;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;575;
1294;Organiser des débats publics, des marches, des stratégies d'influence sur internet;575;
1295;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;576;
1296;Organiser des auditions, des consultations formelles sur des actes législatifs ou d'autres consultations ouvertes;576;
1297;Organiser des débats publics, des marches, des stratégies d'influence sur internet;576;
1298;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;577;
1299;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;577;
1300;Organiser des auditions, des consultations formelles sur des actes législatifs ou d'autres consultations ouvertes;577;
1301;Etablir une correspondance régulière (par courriel, par courrier…);577;
1302;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;578;
1303;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;579;
1304;Organiser des auditions, des consultations formelles sur des actes législatifs ou d'autres consultations ouvertes;579;
1305;Autres : à préciser;580;Rescrit fiscal concernant l'application des différents taux de TVA. 
1306;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;581;
1307;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;581;
1308;Organiser des auditions, des consultations formelles sur des actes législatifs ou d'autres consultations ouvertes;581;
1309;Etablir une correspondance régulière (par courriel, par courrier…);581;
1310;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;582;
1311;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;582;
1312;Organiser des auditions, des consultations formelles sur des actes législatifs ou d'autres consultations ouvertes;582;
1313;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;583;
1314;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;583;
1315;Organiser des auditions, des consultations formelles sur des actes législatifs ou d'autres consultations ouvertes;583;
1316;Autres : à préciser;584;Demander du soutien pour le mise en place d'un stage à l'installation 
1317;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;584;Demander du soutien pour le mise en place d'un stage à l'installation 
1318;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;584;Demander du soutien pour le mise en place d'un stage à l'installation 
1319;Organiser des auditions, des consultations formelles sur des actes législatifs ou d'autres consultations ouvertes;584;Demander du soutien pour le mise en place d'un stage à l'installation 
1320;Organiser des discussions informelles ou des réunions en tête-à-tête;585;
1321;Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;585;
1322;Organiser des discussions informelles ou des réunions en tête-à-tête;586;
1323;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;586;
1324;Etablir une correspondance régulière (par courriel, par courrier…);586;
1325;Organiser des discussions informelles ou des réunions en tête-à-tête;587;
1326;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;587;
1327;Etablir une correspondance régulière (par courriel, par courrier…);587;
1328;Organiser des discussions informelles ou des réunions en tête-à-tête;588;
1329;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;588;
1330;Etablir une correspondance régulière (par courriel, par courrier…);588;
1331;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;589;
1332;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;590;
1333;Organiser des auditions, des consultations formelles sur des actes législatifs ou d'autres consultations ouvertes;590;
1334;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;591;
1335;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;591;
1336;Organiser des auditions, des consultations formelles sur des actes législatifs ou d'autres consultations ouvertes;591;
1337;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;592;
1338;Organiser des discussions informelles ou des réunions en tête-à-tête;593;
1339;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;593;
1340;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;594;
1341;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;594;
1342;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;595;
1343;Organiser des discussions informelles ou des réunions en tête-à-tête;596;
1344;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;596;
1345;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;596;
1346;Organiser des discussions informelles ou des réunions en tête-à-tête;597;
1347;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;597;
1348;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;598;
1349;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;599;
1350;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;600;
1351;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;600;
1352;Envoyer des pétitions, lettres ouvertes, tracts;600;
1353;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;601;
1354;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;601;
1355;Envoyer des pétitions, lettres ouvertes, tracts;601;
1356;Organiser des discussions informelles ou des réunions en tête-à-tête;602;
1357;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;602;
1358;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;602;
1359;Organiser des discussions informelles ou des réunions en tête-à-tête;603;
1360;Etablir une correspondance régulière (par courriel, par courrier…);603;
1361;Convenir pour un tiers d'une entrevue avec le titulaire d'une charge publique;603;
1362;Convenir pour un tiers d'une entrevue avec le titulaire d'une charge publique;604;
1363;Organiser des discussions informelles ou des réunions en tête-à-tête;605;
1364;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;605;
1365;Convenir pour un tiers d'une entrevue avec le titulaire d'une charge publique;605;
1366;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;606;
1367;Etablir une correspondance régulière (par courriel, par courrier…);606;
1368;Convenir pour un tiers d'une entrevue avec le titulaire d'une charge publique;606;
1369;Organiser des discussions informelles ou des réunions en tête-à-tête;607;
1370;Convenir pour un tiers d'une entrevue avec le titulaire d'une charge publique;607;
1371;Organiser des discussions informelles ou des réunions en tête-à-tête;608;
1372;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;608;
1373;Convenir pour un tiers d'une entrevue avec le titulaire d'une charge publique;608;
1374;Organiser des discussions informelles ou des réunions en tête-à-tête;609;
1375;Etablir une correspondance régulière (par courriel, par courrier…);609;
1376;Convenir pour un tiers d'une entrevue avec le titulaire d'une charge publique;609;
1377;Organiser des discussions informelles ou des réunions en tête-à-tête;610;
1378;Convenir pour un tiers d'une entrevue avec le titulaire d'une charge publique;610;
1379;Organiser des discussions informelles ou des réunions en tête-à-tête;611;
1380;Convenir pour un tiers d'une entrevue avec le titulaire d'une charge publique;611;
1381;Etablir une correspondance régulière (par courriel, par courrier…);612;
1382;Organiser des discussions informelles ou des réunions en tête-à-tête;613;
1383;Convenir pour un tiers d'une entrevue avec le titulaire d'une charge publique;613;
1384;Organiser des discussions informelles ou des réunions en tête-à-tête;614;
1385;Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;614;
1386;Convenir pour un tiers d'une entrevue avec le titulaire d'une charge publique;614;
1387;Convenir pour un tiers d'une entrevue avec le titulaire d'une charge publique;615;
1388;Convenir pour un tiers d'une entrevue avec le titulaire d'une charge publique;616;
1389;Organiser des discussions informelles ou des réunions en tête-à-tête;617;
1390;Convenir pour un tiers d'une entrevue avec le titulaire d'une charge publique;617;
1391;Etablir une correspondance régulière (par courriel, par courrier…);618;
1392;Convenir pour un tiers d'une entrevue avec le titulaire d'une charge publique;619;
1393;Organiser des discussions informelles ou des réunions en tête-à-tête;620;
1394;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;620;
1395;Etablir une correspondance régulière (par courriel, par courrier…);620;
1396;Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;620;
1397;Convenir pour un tiers d'une entrevue avec le titulaire d'une charge publique;620;
1398;Organiser des discussions informelles ou des réunions en tête-à-tête;621;
1399;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;621;
1400;Etablir une correspondance régulière (par courriel, par courrier…);621;
1401;Convenir pour un tiers d'une entrevue avec le titulaire d'une charge publique;621;
1402;Organiser des discussions informelles ou des réunions en tête-à-tête;622;
1403;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;622;
1404;Etablir une correspondance régulière (par courriel, par courrier…);622;
1405;Convenir pour un tiers d'une entrevue avec le titulaire d'une charge publique;622;
1406;Organiser des discussions informelles ou des réunions en tête-à-tête;623;
1407;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;623;
1408;Organiser des auditions, des consultations formelles sur des actes législatifs ou d'autres consultations ouvertes;623;
1409;Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;623;
1410;Convenir pour un tiers d'une entrevue avec le titulaire d'une charge publique;623;
1411;Convenir pour un tiers d'une entrevue avec le titulaire d'une charge publique;624;
1412;Organiser des discussions informelles ou des réunions en tête-à-tête;625;
1413;Etablir une correspondance régulière (par courriel, par courrier…);625;
1414;Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;625;
