;beneficiaire_action_menee;action_representation_interet_id;action_menee_en_propre
1760;SOCIETE D'ACHATS PHOTO CINE;151;0
1761;KRYS GROUP SERVICES;151;0
1762;SYNALIA;151;0
1763;ENTENDRE;151;0
1764;SELECTOUR AFAT ENTREPRISE;151;0
1765;GROUPEMENT DES LIBRAIRES DE BANDE DESSINEE;151;0
1766;SA COOPERATIVE EUROPECHE;151;0
1767;CENTRALE EUROPEENNE DE DISTRIBUTION - C10;151;0
1768;MAPOTEL SA;151;0
1769;ANWR-GARANT FRANCE;151;0
1770;SOCIETE COOPERATIVE FINANCIERE ET DE DEVELOPPEMENT ECF;151;0
1771;COOPERATIVE U ENSEIGNE;151;0
1772;ASS CENTR DISTRIBUT E LECLERC;151;0
1773;SOCIETE ANONYME COOPERATIVE GIPHAR;151;0
1774;ASTERA;151;0
1775;GIROPHARM;151;0
1776;BIOMONDE SOLIDARITE;151;0
1777;GROUPE WELCOOP;151;0
1778;ESPACE COOPERATIVE;152;0
1779;EURO PISCINE SERVICES;152;0
1780;EX&CO;152;0
1781;SCM SOCIETE COOPERATIVE DU MEUBLE;152;0
1782;MONSIEUR JARDINAGE;152;0
1783;ACTURA;152;0
1784;EDRA;152;0
1785;GASEL;152;0
1786;GROUPEMENT DES INSTALLATEURS FRANCAIS;152;0
1787;HEXA PLUS SANTE;152;0
1788;GADOL OPTIC 2000;152;0
1789;ALKOR;152;0
1790;J AIME MON COURTIER;152;0
1791;COMPAGNIE DES ARCHITECTEURS;152;0
1792;L'ADRESSE DES CONSEILS IMMOBILIERS;152;0
1793;ORFI FRANCE;152;0
1794;SOCIETE COOPERATIVE DES COURTIERS D'ASSURANCE S C C A;152;0
1795;SOC COOPE RENOVATION EQUIPEMENT COMMERCE;152;0
1796;UNION DIFFUS INFORM FUNERAIRE EUROPEENNE;152;0
1797;COOPERATIVE DES GOLFS INDEPENDANTS;152;0
1798;SPORT 2000 FRANCE;152;0
1799;AXENERGIE;152;0
1800;BIGMAT FRANCE;152;0
1801;CARRELIA DEVELOPPEMENT;152;0
1802;GROUPE INTERSPORT;152;0
1803;ITM ENTREPRISES SA;152;0
1804;STARTER LES NOUVEAUX DISQUAIRES;152;0
1805;SA COOPERATIVE D'OPTICIENS LUNETIERS;152;0
1806;SOCIETE POUR L'APPROVISIONNEMENT, LA PROMOTION ET LES ETUDES COMMERCIALES;152;0
1807;FRANCE MATERNITE;152;0
1808;S.C.H.C. (SOCIETE COOPERATIVE DES HOTELS CITOTEL);152;0
1809;ENTENTE PROF SPECIALISTES ENF;152;0
1810;COMPTOIR FRANCAIS DE LA QUINCAILLERIE;152;0
1811;EK FRANCE SARL;152;0
1812;EUROPEENNE D HOTELLERIE;152;0
1813;GENERALE D EXPANSION;152;0
1814;UNIFRANCE;152;0
1815;ATOL;152;0
1816;COOPERATIVE PARFUMEURS PASSION BEAUTE;152;0
1817;SOCIETE D'ACHATS PHOTO CINE;152;0
1818;KRYS GROUP SERVICES;152;0
1819;SYNALIA;152;0
1820;ENTENDRE;152;0
1821;SELECTOUR AFAT ENTREPRISE;152;0
1822;GROUPEMENT DES LIBRAIRES DE BANDE DESSINEE;152;0
1823;SA COOPERATIVE EUROPECHE;152;0
1824;CENTRALE EUROPEENNE DE DISTRIBUTION - C10;152;0
1825;MAPOTEL SA;152;0
1826;ANWR-GARANT FRANCE;152;0
1827;SOCIETE COOPERATIVE FINANCIERE ET DE DEVELOPPEMENT ECF;152;0
1828;COOPERATIVE U ENSEIGNE;152;0
1829;ASS CENTR DISTRIBUT E LECLERC;152;0
1830;SOCIETE ANONYME COOPERATIVE GIPHAR;152;0
1831;ASTERA;152;0
1832;GIROPHARM;152;0
1833;BIOMONDE SOLIDARITE;152;0
1834;GROUPE WELCOOP;152;0
1835;ESPACE COOPERATIVE;153;0
1836;EURO PISCINE SERVICES;153;0
1837;EX&CO;153;0
1838;SCM SOCIETE COOPERATIVE DU MEUBLE;153;0
1839;MONSIEUR JARDINAGE;153;0
1840;ACTURA;153;0
1841;EDRA;153;0
1842;GASEL;153;0
1843;GROUPEMENT DES INSTALLATEURS FRANCAIS;153;0
1844;HEXA PLUS SANTE;153;0
1845;GADOL OPTIC 2000;153;0
1846;ALKOR;153;0
1847;J AIME MON COURTIER;153;0
1848;COMPAGNIE DES ARCHITECTEURS;153;0
1849;L'ADRESSE DES CONSEILS IMMOBILIERS;153;0
1850;ORFI FRANCE;153;0
1851;SOCIETE COOPERATIVE DES COURTIERS D'ASSURANCE S C C A;153;0
1852;SOC COOPE RENOVATION EQUIPEMENT COMMERCE;153;0
1853;UNION DIFFUS INFORM FUNERAIRE EUROPEENNE;153;0
1854;COOPERATIVE DES GOLFS INDEPENDANTS;153;0
1855;SPORT 2000 FRANCE;153;0
1856;AXENERGIE;153;0
1857;BIGMAT FRANCE;153;0
1858;CARRELIA DEVELOPPEMENT;153;0
1859;GROUPE INTERSPORT;153;0
1860;ITM ENTREPRISES SA;153;0
1861;STARTER LES NOUVEAUX DISQUAIRES;153;0
1862;SA COOPERATIVE D'OPTICIENS LUNETIERS;153;0
1863;SOCIETE POUR L'APPROVISIONNEMENT, LA PROMOTION ET LES ETUDES COMMERCIALES;153;0
1864;FRANCE MATERNITE;153;0
1865;S.C.H.C. (SOCIETE COOPERATIVE DES HOTELS CITOTEL);153;0
1866;ENTENTE PROF SPECIALISTES ENF;153;0
1867;COMPTOIR FRANCAIS DE LA QUINCAILLERIE;153;0
1868;EK FRANCE SARL;153;0
1869;EUROPEENNE D HOTELLERIE;153;0
1870;GENERALE D EXPANSION;153;0
1871;UNIFRANCE;153;0
1872;ATOL;153;0
1873;COOPERATIVE PARFUMEURS PASSION BEAUTE;153;0
1874;SOCIETE D'ACHATS PHOTO CINE;153;0
1875;KRYS GROUP SERVICES;153;0
1876;SYNALIA;153;0
1877;ENTENDRE;153;0
1878;SELECTOUR AFAT ENTREPRISE;153;0
1879;GROUPEMENT DES LIBRAIRES DE BANDE DESSINEE;153;0
1880;SA COOPERATIVE EUROPECHE;153;0
1881;CENTRALE EUROPEENNE DE DISTRIBUTION - C10;153;0
1882;MAPOTEL SA;153;0
1883;ANWR-GARANT FRANCE;153;0
1884;SOCIETE COOPERATIVE FINANCIERE ET DE DEVELOPPEMENT ECF;153;0
1885;COOPERATIVE U ENSEIGNE;153;0
1886;ASS CENTR DISTRIBUT E LECLERC;153;0
1887;SOCIETE ANONYME COOPERATIVE GIPHAR;153;0
1888;ASTERA;153;0
1889;GIROPHARM;153;0
1890;BIOMONDE SOLIDARITE;153;0
1891;GROUPE WELCOOP;153;0
1892;ESPACE COOPERATIVE;154;0
1893;EURO PISCINE SERVICES;154;0
1894;EX&CO;154;0
1895;SCM SOCIETE COOPERATIVE DU MEUBLE;154;0
1896;MONSIEUR JARDINAGE;154;0
1897;ACTURA;154;0
1898;EDRA;154;0
1899;GASEL;154;0
1900;GROUPEMENT DES INSTALLATEURS FRANCAIS;154;0
1901;HEXA PLUS SANTE;154;0
1902;GADOL OPTIC 2000;154;0
1903;ALKOR;154;0
1904;J AIME MON COURTIER;154;0
1905;COMPAGNIE DES ARCHITECTEURS;154;0
1906;L'ADRESSE DES CONSEILS IMMOBILIERS;154;0
1907;ORFI FRANCE;154;0
1908;SOCIETE COOPERATIVE DES COURTIERS D'ASSURANCE S C C A;154;0
1909;SOC COOPE RENOVATION EQUIPEMENT COMMERCE;154;0
1910;UNION DIFFUS INFORM FUNERAIRE EUROPEENNE;154;0
1911;COOPERATIVE DES GOLFS INDEPENDANTS;154;0
1912;SPORT 2000 FRANCE;154;0
1913;AXENERGIE;154;0
1914;BIGMAT FRANCE;154;0
1915;CARRELIA DEVELOPPEMENT;154;0
1916;GROUPE INTERSPORT;154;0
1917;ITM ENTREPRISES SA;154;0
1918;STARTER LES NOUVEAUX DISQUAIRES;154;0
1919;SA COOPERATIVE D'OPTICIENS LUNETIERS;154;0
1920;SOCIETE POUR L'APPROVISIONNEMENT, LA PROMOTION ET LES ETUDES COMMERCIALES;154;0
1921;FRANCE MATERNITE;154;0
1922;S.C.H.C. (SOCIETE COOPERATIVE DES HOTELS CITOTEL);154;0
1923;ENTENTE PROF SPECIALISTES ENF;154;0
1924;COMPTOIR FRANCAIS DE LA QUINCAILLERIE;154;0
1925;EK FRANCE SARL;154;0
1926;EUROPEENNE D HOTELLERIE;154;0
1927;GENERALE D EXPANSION;154;0
1928;UNIFRANCE;154;0
1929;ATOL;154;0
1930;COOPERATIVE PARFUMEURS PASSION BEAUTE;154;0
1931;SOCIETE D'ACHATS PHOTO CINE;154;0
1932;KRYS GROUP SERVICES;154;0
1933;SYNALIA;154;0
1934;ENTENDRE;154;0
1935;SELECTOUR AFAT ENTREPRISE;154;0
1936;GROUPEMENT DES LIBRAIRES DE BANDE DESSINEE;154;0
1937;SA COOPERATIVE EUROPECHE;154;0
1938;CENTRALE EUROPEENNE DE DISTRIBUTION - C10;154;0
1939;MAPOTEL SA;154;0
1940;ANWR-GARANT FRANCE;154;0
1941;SOCIETE COOPERATIVE FINANCIERE ET DE DEVELOPPEMENT ECF;154;0
1942;COOPERATIVE U ENSEIGNE;154;0
1943;ASS CENTR DISTRIBUT E LECLERC;154;0
1944;SOCIETE ANONYME COOPERATIVE GIPHAR;154;0
1945;ASTERA;154;0
1946;GIROPHARM;154;0
1947;BIOMONDE SOLIDARITE;154;0
1948;GROUPE WELCOOP;154;0
1949;ESPACE COOPERATIVE;155;0
1950;EURO PISCINE SERVICES;155;0
1951;EX&CO;155;0
1952;SCM SOCIETE COOPERATIVE DU MEUBLE;155;0
1953;MONSIEUR JARDINAGE;155;0
1954;ACTURA;155;0
1955;EDRA;155;0
1956;GASEL;155;0
1957;GROUPEMENT DES INSTALLATEURS FRANCAIS;155;0
1958;HEXA PLUS SANTE;155;0
1959;GADOL OPTIC 2000;155;0
1960;ALKOR;155;0
1961;J AIME MON COURTIER;155;0
1962;COMPAGNIE DES ARCHITECTEURS;155;0
1963;L'ADRESSE DES CONSEILS IMMOBILIERS;155;0
1964;ORFI FRANCE;155;0
1965;SOCIETE COOPERATIVE DES COURTIERS D'ASSURANCE S C C A;155;0
1966;SOC COOPE RENOVATION EQUIPEMENT COMMERCE;155;0
1967;UNION DIFFUS INFORM FUNERAIRE EUROPEENNE;155;0
1968;COOPERATIVE DES GOLFS INDEPENDANTS;155;0
1969;SPORT 2000 FRANCE;155;0
1970;AXENERGIE;155;0
1971;BIGMAT FRANCE;155;0
1972;CARRELIA DEVELOPPEMENT;155;0
1973;GROUPE INTERSPORT;155;0
1974;ITM ENTREPRISES SA;155;0
1975;STARTER LES NOUVEAUX DISQUAIRES;155;0
1976;SA COOPERATIVE D'OPTICIENS LUNETIERS;155;0
1977;SOCIETE POUR L'APPROVISIONNEMENT, LA PROMOTION ET LES ETUDES COMMERCIALES;155;0
1978;FRANCE MATERNITE;155;0
1979;S.C.H.C. (SOCIETE COOPERATIVE DES HOTELS CITOTEL);155;0
1980;ENTENTE PROF SPECIALISTES ENF;155;0
1981;COMPTOIR FRANCAIS DE LA QUINCAILLERIE;155;0
1982;EK FRANCE SARL;155;0
1983;EUROPEENNE D HOTELLERIE;155;0
1984;GENERALE D EXPANSION;155;0
1985;UNIFRANCE;155;0
1986;ATOL;155;0
1987;COOPERATIVE PARFUMEURS PASSION BEAUTE;155;0
1988;SOCIETE D'ACHATS PHOTO CINE;155;0
1989;KRYS GROUP SERVICES;155;0
1990;SYNALIA;155;0
1991;ENTENDRE;155;0
1992;SELECTOUR AFAT ENTREPRISE;155;0
1993;GROUPEMENT DES LIBRAIRES DE BANDE DESSINEE;155;0
1994;SA COOPERATIVE EUROPECHE;155;0
1995;CENTRALE EUROPEENNE DE DISTRIBUTION - C10;155;0
1996;MAPOTEL SA;155;0
1997;ANWR-GARANT FRANCE;155;0
1998;SOCIETE COOPERATIVE FINANCIERE ET DE DEVELOPPEMENT ECF;155;0
1999;COOPERATIVE U ENSEIGNE;155;0
2000;ASS CENTR DISTRIBUT E LECLERC;155;0
2001;SOCIETE ANONYME COOPERATIVE GIPHAR;155;0
2002;ASTERA;155;0
2003;GIROPHARM;155;0
2004;BIOMONDE SOLIDARITE;155;0
2005;GROUPE WELCOOP;155;0
2006;ESPACE COOPERATIVE;156;0
2007;EURO PISCINE SERVICES;156;0
2008;EX&CO;156;0
2009;SCM SOCIETE COOPERATIVE DU MEUBLE;156;0
2010;MONSIEUR JARDINAGE;156;0
2011;ACTURA;156;0
2012;EDRA;156;0
2013;GASEL;156;0
2014;GROUPEMENT DES INSTALLATEURS FRANCAIS;156;0
2015;HEXA PLUS SANTE;156;0
2016;GADOL OPTIC 2000;156;0
2017;ALKOR;156;0
2018;J AIME MON COURTIER;156;0
2019;COMPAGNIE DES ARCHITECTEURS;156;0
2020;L'ADRESSE DES CONSEILS IMMOBILIERS;156;0
2021;ORFI FRANCE;156;0
2022;SOCIETE COOPERATIVE DES COURTIERS D'ASSURANCE S C C A;156;0
2023;SOC COOPE RENOVATION EQUIPEMENT COMMERCE;156;0
2024;UNION DIFFUS INFORM FUNERAIRE EUROPEENNE;156;0
2025;COOPERATIVE DES GOLFS INDEPENDANTS;156;0
2026;SPORT 2000 FRANCE;156;0
2027;AXENERGIE;156;0
2028;BIGMAT FRANCE;156;0
2029;CARRELIA DEVELOPPEMENT;156;0
2030;GROUPE INTERSPORT;156;0
2031;ITM ENTREPRISES SA;156;0
2032;STARTER LES NOUVEAUX DISQUAIRES;156;0
2033;SA COOPERATIVE D'OPTICIENS LUNETIERS;156;0
2034;SOCIETE POUR L'APPROVISIONNEMENT, LA PROMOTION ET LES ETUDES COMMERCIALES;156;0
2035;FRANCE MATERNITE;156;0
2036;S.C.H.C. (SOCIETE COOPERATIVE DES HOTELS CITOTEL);156;0
2037;ENTENTE PROF SPECIALISTES ENF;156;0
2038;COMPTOIR FRANCAIS DE LA QUINCAILLERIE;156;0
2039;EK FRANCE SARL;156;0
2040;EUROPEENNE D HOTELLERIE;156;0
2041;GENERALE D EXPANSION;156;0
2042;UNIFRANCE;156;0
2043;ATOL;156;0
2044;COOPERATIVE PARFUMEURS PASSION BEAUTE;156;0
2045;SOCIETE D'ACHATS PHOTO CINE;156;0
2046;KRYS GROUP SERVICES;156;0
2047;SYNALIA;156;0
2048;ENTENDRE;156;0
2049;SELECTOUR AFAT ENTREPRISE;156;0
2050;GROUPEMENT DES LIBRAIRES DE BANDE DESSINEE;156;0
2051;SA COOPERATIVE EUROPECHE;156;0
2052;CENTRALE EUROPEENNE DE DISTRIBUTION - C10;156;0
2053;MAPOTEL SA;156;0
2054;ANWR-GARANT FRANCE;156;0
2055;SOCIETE COOPERATIVE FINANCIERE ET DE DEVELOPPEMENT ECF;156;0
2056;COOPERATIVE U ENSEIGNE;156;0
2057;ASS CENTR DISTRIBUT E LECLERC;156;0
2058;SOCIETE ANONYME COOPERATIVE GIPHAR;156;0
2059;ASTERA;156;0
2060;GIROPHARM;156;0
2061;BIOMONDE SOLIDARITE;156;0
2062;GROUPE WELCOOP;156;0
2063;ESPACE COOPERATIVE;157;0
2064;EURO PISCINE SERVICES;157;0
2065;EX&CO;157;0
2066;SCM SOCIETE COOPERATIVE DU MEUBLE;157;0
2067;MONSIEUR JARDINAGE;157;0
2068;ACTURA;157;0
2069;EDRA;157;0
2070;GASEL;157;0
2071;GROUPEMENT DES INSTALLATEURS FRANCAIS;157;0
2072;HEXA PLUS SANTE;157;0
2073;GADOL OPTIC 2000;157;0
2074;ALKOR;157;0
2075;J AIME MON COURTIER;157;0
2076;COMPAGNIE DES ARCHITECTEURS;157;0
2077;L'ADRESSE DES CONSEILS IMMOBILIERS;157;0
2078;ORFI FRANCE;157;0
2079;SOCIETE COOPERATIVE DES COURTIERS D'ASSURANCE S C C A;157;0
2080;SOC COOPE RENOVATION EQUIPEMENT COMMERCE;157;0
2081;UNION DIFFUS INFORM FUNERAIRE EUROPEENNE;157;0
2082;COOPERATIVE DES GOLFS INDEPENDANTS;157;0
2083;SPORT 2000 FRANCE;157;0
2084;AXENERGIE;157;0
2085;BIGMAT FRANCE;157;0
2086;CARRELIA DEVELOPPEMENT;157;0
2087;GROUPE INTERSPORT;157;0
2088;ITM ENTREPRISES SA;157;0
2089;STARTER LES NOUVEAUX DISQUAIRES;157;0
2090;SA COOPERATIVE D'OPTICIENS LUNETIERS;157;0
2091;SOCIETE POUR L'APPROVISIONNEMENT, LA PROMOTION ET LES ETUDES COMMERCIALES;157;0
2092;FRANCE MATERNITE;157;0
2093;S.C.H.C. (SOCIETE COOPERATIVE DES HOTELS CITOTEL);157;0
2094;ENTENTE PROF SPECIALISTES ENF;157;0
2095;COMPTOIR FRANCAIS DE LA QUINCAILLERIE;157;0
2096;EK FRANCE SARL;157;0
2097;EUROPEENNE D HOTELLERIE;157;0
2098;GENERALE D EXPANSION;157;0
2099;UNIFRANCE;157;0
2100;ATOL;157;0
2101;COOPERATIVE PARFUMEURS PASSION BEAUTE;157;0
2102;SOCIETE D'ACHATS PHOTO CINE;157;0
2103;KRYS GROUP SERVICES;157;0
2104;SYNALIA;157;0
2105;ENTENDRE;157;0
2106;SELECTOUR AFAT ENTREPRISE;157;0
2107;GROUPEMENT DES LIBRAIRES DE BANDE DESSINEE;157;0
2108;SA COOPERATIVE EUROPECHE;157;0
2109;CENTRALE EUROPEENNE DE DISTRIBUTION - C10;157;0
2110;MAPOTEL SA;157;0
2111;ANWR-GARANT FRANCE;157;0
2112;SOCIETE COOPERATIVE FINANCIERE ET DE DEVELOPPEMENT ECF;157;0
2113;COOPERATIVE U ENSEIGNE;157;0
2114;ASS CENTR DISTRIBUT E LECLERC;157;0
2115;SOCIETE ANONYME COOPERATIVE GIPHAR;157;0
2116;ASTERA;157;0
2117;GIROPHARM;157;0
2118;BIOMONDE SOLIDARITE;157;0
2119;GROUPE WELCOOP;157;0
2120;ESPACE COOPERATIVE;158;0
2121;EURO PISCINE SERVICES;158;0
2122;EX&CO;158;0
2123;SCM SOCIETE COOPERATIVE DU MEUBLE;158;0
2124;MONSIEUR JARDINAGE;158;0
2125;ACTURA;158;0
2126;EDRA;158;0
2127;GASEL;158;0
2128;GROUPEMENT DES INSTALLATEURS FRANCAIS;158;0
2129;HEXA PLUS SANTE;158;0
2130;GADOL OPTIC 2000;158;0
2131;ALKOR;158;0
2132;J AIME MON COURTIER;158;0
2133;COMPAGNIE DES ARCHITECTEURS;158;0
2134;L'ADRESSE DES CONSEILS IMMOBILIERS;158;0
2135;ORFI FRANCE;158;0
2136;SOCIETE COOPERATIVE DES COURTIERS D'ASSURANCE S C C A;158;0
2137;SOC COOPE RENOVATION EQUIPEMENT COMMERCE;158;0
2138;UNION DIFFUS INFORM FUNERAIRE EUROPEENNE;158;0
2139;COOPERATIVE DES GOLFS INDEPENDANTS;158;0
2140;SPORT 2000 FRANCE;158;0
2141;AXENERGIE;158;0
2142;BIGMAT FRANCE;158;0
2143;CARRELIA DEVELOPPEMENT;158;0
2144;GROUPE INTERSPORT;158;0
2145;ITM ENTREPRISES SA;158;0
2146;STARTER LES NOUVEAUX DISQUAIRES;158;0
2147;SA COOPERATIVE D'OPTICIENS LUNETIERS;158;0
2148;SOCIETE POUR L'APPROVISIONNEMENT, LA PROMOTION ET LES ETUDES COMMERCIALES;158;0
2149;FRANCE MATERNITE;158;0
2150;S.C.H.C. (SOCIETE COOPERATIVE DES HOTELS CITOTEL);158;0
2151;ENTENTE PROF SPECIALISTES ENF;158;0
2152;COMPTOIR FRANCAIS DE LA QUINCAILLERIE;158;0
2153;EK FRANCE SARL;158;0
2154;EUROPEENNE D HOTELLERIE;158;0
2155;GENERALE D EXPANSION;158;0
2156;UNIFRANCE;158;0
2157;ATOL;158;0
2158;COOPERATIVE PARFUMEURS PASSION BEAUTE;158;0
2159;SOCIETE D'ACHATS PHOTO CINE;158;0
2160;KRYS GROUP SERVICES;158;0
2161;SYNALIA;158;0
2162;ENTENDRE;158;0
2163;SELECTOUR AFAT ENTREPRISE;158;0
2164;GROUPEMENT DES LIBRAIRES DE BANDE DESSINEE;158;0
2165;SA COOPERATIVE EUROPECHE;158;0
2166;CENTRALE EUROPEENNE DE DISTRIBUTION - C10;158;0
2167;MAPOTEL SA;158;0
2168;ANWR-GARANT FRANCE;158;0
2169;SOCIETE COOPERATIVE FINANCIERE ET DE DEVELOPPEMENT ECF;158;0
2170;COOPERATIVE U ENSEIGNE;158;0
2171;ASS CENTR DISTRIBUT E LECLERC;158;0
2172;SOCIETE ANONYME COOPERATIVE GIPHAR;158;0
2173;ASTERA;158;0
2174;GIROPHARM;158;0
2175;BIOMONDE SOLIDARITE;158;0
2176;GROUPE WELCOOP;158;0
2177;ESPACE COOPERATIVE;159;0
2178;EURO PISCINE SERVICES;159;0
2179;EX&CO;159;0
2180;SCM SOCIETE COOPERATIVE DU MEUBLE;159;0
2181;MONSIEUR JARDINAGE;159;0
2182;ACTURA;159;0
2183;EDRA;159;0
2184;GASEL;159;0
2185;GROUPEMENT DES INSTALLATEURS FRANCAIS;159;0
2186;HEXA PLUS SANTE;159;0
2187;GADOL OPTIC 2000;159;0
2188;ALKOR;159;0
2189;J AIME MON COURTIER;159;0
2190;COMPAGNIE DES ARCHITECTEURS;159;0
2191;L'ADRESSE DES CONSEILS IMMOBILIERS;159;0
2192;ORFI FRANCE;159;0
2193;SOCIETE COOPERATIVE DES COURTIERS D'ASSURANCE S C C A;159;0
2194;SOC COOPE RENOVATION EQUIPEMENT COMMERCE;159;0
2195;UNION DIFFUS INFORM FUNERAIRE EUROPEENNE;159;0
2196;COOPERATIVE DES GOLFS INDEPENDANTS;159;0
2197;SPORT 2000 FRANCE;159;0
2198;AXENERGIE;159;0
2199;BIGMAT FRANCE;159;0
2200;CARRELIA DEVELOPPEMENT;159;0
2201;GROUPE INTERSPORT;159;0
2202;ITM ENTREPRISES SA;159;0
2203;STARTER LES NOUVEAUX DISQUAIRES;159;0
2204;SA COOPERATIVE D'OPTICIENS LUNETIERS;159;0
2205;SOCIETE POUR L'APPROVISIONNEMENT, LA PROMOTION ET LES ETUDES COMMERCIALES;159;0
2206;FRANCE MATERNITE;159;0
2207;S.C.H.C. (SOCIETE COOPERATIVE DES HOTELS CITOTEL);159;0
2208;ENTENTE PROF SPECIALISTES ENF;159;0
2209;COMPTOIR FRANCAIS DE LA QUINCAILLERIE;159;0
2210;EK FRANCE SARL;159;0
2211;EUROPEENNE D HOTELLERIE;159;0
2212;GENERALE D EXPANSION;159;0
2213;UNIFRANCE;159;0
2214;ATOL;159;0
2215;COOPERATIVE PARFUMEURS PASSION BEAUTE;159;0
2216;SOCIETE D'ACHATS PHOTO CINE;159;0
2217;KRYS GROUP SERVICES;159;0
2218;SYNALIA;159;0
2219;ENTENDRE;159;0
2220;SELECTOUR AFAT ENTREPRISE;159;0
2221;GROUPEMENT DES LIBRAIRES DE BANDE DESSINEE;159;0
2222;SA COOPERATIVE EUROPECHE;159;0
2223;CENTRALE EUROPEENNE DE DISTRIBUTION - C10;159;0
2224;MAPOTEL SA;159;0
2225;ANWR-GARANT FRANCE;159;0
2226;SOCIETE COOPERATIVE FINANCIERE ET DE DEVELOPPEMENT ECF;159;0
2227;COOPERATIVE U ENSEIGNE;159;0
2228;ASS CENTR DISTRIBUT E LECLERC;159;0
2229;SOCIETE ANONYME COOPERATIVE GIPHAR;159;0
2230;ASTERA;159;0
2231;GIROPHARM;159;0
2232;BIOMONDE SOLIDARITE;159;0
2233;GROUPE WELCOOP;159;0
2234;ESPACE COOPERATIVE;160;0
2235;EURO PISCINE SERVICES;160;0
2236;EX&CO;160;0
2237;SCM SOCIETE COOPERATIVE DU MEUBLE;160;0
2238;MONSIEUR JARDINAGE;160;0
2239;ACTURA;160;0
2240;EDRA;160;0
2241;GASEL;160;0
2242;GROUPEMENT DES INSTALLATEURS FRANCAIS;160;0
2243;HEXA PLUS SANTE;160;0
2244;GADOL OPTIC 2000;160;0
2245;ALKOR;160;0
2246;J AIME MON COURTIER;160;0
2247;COMPAGNIE DES ARCHITECTEURS;160;0
2248;L'ADRESSE DES CONSEILS IMMOBILIERS;160;0
2249;ORFI FRANCE;160;0
2250;SOCIETE COOPERATIVE DES COURTIERS D'ASSURANCE S C C A;160;0
2251;SOC COOPE RENOVATION EQUIPEMENT COMMERCE;160;0
2252;UNION DIFFUS INFORM FUNERAIRE EUROPEENNE;160;0
2253;COOPERATIVE DES GOLFS INDEPENDANTS;160;0
2254;SPORT 2000 FRANCE;160;0
2255;AXENERGIE;160;0
2256;BIGMAT FRANCE;160;0
2257;CARRELIA DEVELOPPEMENT;160;0
2258;GROUPE INTERSPORT;160;0
2259;ITM ENTREPRISES SA;160;0
2260;STARTER LES NOUVEAUX DISQUAIRES;160;0
2261;SA COOPERATIVE D'OPTICIENS LUNETIERS;160;0
2262;SOCIETE POUR L'APPROVISIONNEMENT, LA PROMOTION ET LES ETUDES COMMERCIALES;160;0
2263;FRANCE MATERNITE;160;0
2264;S.C.H.C. (SOCIETE COOPERATIVE DES HOTELS CITOTEL);160;0
2265;ENTENTE PROF SPECIALISTES ENF;160;0
2266;COMPTOIR FRANCAIS DE LA QUINCAILLERIE;160;0
2267;EK FRANCE SARL;160;0
2268;EUROPEENNE D HOTELLERIE;160;0
2269;GENERALE D EXPANSION;160;0
2270;UNIFRANCE;160;0
2271;ATOL;160;0
2272;COOPERATIVE PARFUMEURS PASSION BEAUTE;160;0
2273;SOCIETE D'ACHATS PHOTO CINE;160;0
2274;KRYS GROUP SERVICES;160;0
2275;SYNALIA;160;0
2276;ENTENDRE;160;0
2277;SELECTOUR AFAT ENTREPRISE;160;0
2278;GROUPEMENT DES LIBRAIRES DE BANDE DESSINEE;160;0
2279;SA COOPERATIVE EUROPECHE;160;0
2280;CENTRALE EUROPEENNE DE DISTRIBUTION - C10;160;0
2281;MAPOTEL SA;160;0
2282;ANWR-GARANT FRANCE;160;0
2283;SOCIETE COOPERATIVE FINANCIERE ET DE DEVELOPPEMENT ECF;160;0
2284;COOPERATIVE U ENSEIGNE;160;0
2285;ASS CENTR DISTRIBUT E LECLERC;160;0
2286;SOCIETE ANONYME COOPERATIVE GIPHAR;160;0
2287;ASTERA;160;0
2288;GIROPHARM;160;0
2289;BIOMONDE SOLIDARITE;160;0
2290;GROUPE WELCOOP;160;0
2291;ESPACE COOPERATIVE;161;0
2292;EURO PISCINE SERVICES;161;0
2293;EX&CO;161;0
2294;SCM SOCIETE COOPERATIVE DU MEUBLE;161;0
2295;MONSIEUR JARDINAGE;161;0
2296;ACTURA;161;0
2297;EDRA;161;0
2298;GASEL;161;0
2299;GROUPEMENT DES INSTALLATEURS FRANCAIS;161;0
2300;HEXA PLUS SANTE;161;0
2301;GADOL OPTIC 2000;161;0
2302;ALKOR;161;0
2303;J AIME MON COURTIER;161;0
2304;COMPAGNIE DES ARCHITECTEURS;161;0
2305;L'ADRESSE DES CONSEILS IMMOBILIERS;161;0
2306;ORFI FRANCE;161;0
2307;SOCIETE COOPERATIVE DES COURTIERS D'ASSURANCE S C C A;161;0
2308;SOC COOPE RENOVATION EQUIPEMENT COMMERCE;161;0
2309;UNION DIFFUS INFORM FUNERAIRE EUROPEENNE;161;0
2310;COOPERATIVE DES GOLFS INDEPENDANTS;161;0
2311;SPORT 2000 FRANCE;161;0
2312;AXENERGIE;161;0
2313;BIGMAT FRANCE;161;0
2314;CARRELIA DEVELOPPEMENT;161;0
2315;GROUPE INTERSPORT;161;0
2316;ITM ENTREPRISES SA;161;0
2317;STARTER LES NOUVEAUX DISQUAIRES;161;0
2318;SA COOPERATIVE D'OPTICIENS LUNETIERS;161;0
2319;SOCIETE POUR L'APPROVISIONNEMENT, LA PROMOTION ET LES ETUDES COMMERCIALES;161;0
