;representants_id;denomination_affiliation;identifiant_national_affiliation;type_identifiant_national_affiliation
797;460;FORUMPHYTO;799520580;SIREN
798;460;COOP DE FRANCE;784179665;SIREN
799;460;ANIFELT;309844322;SIREN
800;460;AGCE RECHERC INFORMAT FRUITS LEGUMES FRA;323687624;SIREN
801;460;ASS AGRI CONFIANCE;442886164;SIREN
802;461;FEDE NAT SYNDIC EXPL AGRICOLE;784854937;SIREN
803;461;FEDER REG SYND EXPLOIT AGRIC NORMANDIE;430481028;SIREN
804;466;LE MOUVEMENT ASSOCIATIF;430349100;SIREN
805;468;FEDE NAT SYNDIC EXPL AGRICOLE;784854937;SIREN
806;468;FRSEA NORD PAS DE CALAIS PICARDIE;820024305;SIREN
807;469;PRO EUROPE s.p.r.l;H527920546;HATVP
808;469;MOUVEMENT DES ENTREPRISES DE FRANCE;784668618;SIREN
809;472;MOUVEMENT EUROPEEN FRANCE (ME-F);784205841;SIREN
810;473;ASS FRANCAISE DE LA GESTION FINANCIERE;784362584;SIREN
811;474;UNION NATION PREST DISPOSITIFS MEDICAUX;438685695;SIREN
812;474;UNION NATIONALE DES PROFESSIONS LIBERALES;302991591;SIREN
813;474;UTIP FORMATION PHARMACEUTIQUE CONTINUE;784414211;SIREN
814;475;SYND NATION INDUST TECHNOL MEDICALES;307330845;SIREN
815;476;SYNDICAT DES ENERGIES RENOUVELABLES;419710280;SIREN
816;477;CONFEDERATION DES PETITES ET MOYENNES ENTREPRISES;303215016;SIREN
817;477;CONSEIL DU COMMERCE DE FRANCE;784856528;SIREN
818;481;CONSEIL NAL DES EMPLOYEURS ASSOCIATIFS;483326518;SIREN
819;481;COMI RELA NATIO INTER ASSOC JEUN EDUC PO;784579641;SIREN
820;481;COORDINATION NTIONALE DEVELOPPEMENT ACTIVITES PLEINE MONTAGNE ALPINISME;539875658;SIREN
821;481;PLATEFORME ONG FRANCAISES PALESTINE;433238037;SIREN
822;481;ASS NAT CONSEIL ENFANTS ET JEUNES;382959344;SIREN
823;481;MOUVEMENT EUROPEEN FRANCE (ME-F);784205841;SIREN
824;481;ASS NATIO TRANSPORT EDUCAT ENSEIGN PUBLI;784413395;SIREN
825;481;FONDS COOPE JEUNESSE EDUCATION POPULAIRE;784362493;SIREN
826;481;MEDIAPSY VIDEO;822351326;SIREN
827;481;FRANCE VOLONTAIRES;785207176;SIREN
828;481;ASSOCIATION ADAJEP;447499393;SIREN
829;481;AEDE;775722846;SIREN
830;481;L'ESPER (L'ECONOMIE SOCIALE PARTENAIRE DE L'ECOLE DE LA REPUBLIQUE);529038382;SIREN
831;481;UCPA SPORT LOISIRS;808022321;SIREN
832;481;UCPA SPORT VACANCES;775682040;SIREN
833;481;JPA;572116838;SIREN
834;481;OBSERVATOIRE DE LA DEONTOLOGIE DE L'INFORMATION;818119984;SIREN
835;481;CENTRE DE JEUNES DU FESTIVAL;783201023;SIREN
836;481;COLLECTIF DES ASSOCIATIONS PARTENAIRES DE LECOLE -  CAPE;W751212854;RNA
837;484;JEUNES AGRICULTEURS GRAND EST;528510993;SIREN
838;485;UNION  TRANSPORTS PUBLICS FERROVIAIRES;784408643;SIREN
839;485;FEDERATION NATIONALE TRANSPORT VOYAGEURS;393264379;SIREN
840;486;CGPME COMMUNICATION;438965352;SIREN
841;486;LE CLUSTER MARITIME FRANCAIS;489847624;SIREN
842;486;CTE NAT PECHES MARITIMES ELEVAGEMARINS;775691736;SIREN
843;486;FRANCE FILIERE PECHE;525093639;SIREN
844;486;ETABLISSEMENT NATIONAL DES PRODUITS DE L AGRICULTURE ET DE LA MER FRANCEAGRIMER;130006364;SIREN
845;486;COOP FR LES ENTREPRISES COOPERATIVES;317165728;SIREN
846;486;INSTITUT DEVELOPPEMENT ECONOMIE SOCIALE;327645057;SIREN
847;487;FEDE NAT SYNDIC EXPL AGRICOLE;784854937;SIREN
848;487;FRSEA NORD PAS DE CALAIS PICARDIE;820024305;SIREN
849;488;COALITION INTERNATIONALE SIDA;504862731;SIREN
850;488;[IMP]PATIENTS, CHRONIQUES & ASSOCIES;534962667;SIREN
851;488;COORDI SOLIDARITE URGENCE DEVELOPPEMENT;398699538;SIREN
852;488;SIDACTION;398945543;SIREN
853;488;L'INTERASSOCIATIVE LESBIENNE GAIE  BI ET TRANS;521317057;SIREN
854;488;RESEAU D'ASSISTANCE AUX VICTIMES D'AGRESSIONS ET DE DISCRIMINATIONS;491599817;SIREN
855;488;UNION NATIONALE DES ASSOCIATIONS AGREEES DU SYSTEME DE SANTE;481370039;SIREN
856;488;FEDERATION NATIONALE D'HEBERGEMENT V.I.H;437762644;SIREN
857;488;ASSOCIATION DE GESTION DU GROUPE INTERASSOCIATIF TRT-5;799320569;SIREN
858;491;FEDERATION DES PROMOTEURS IMMOBILIERS DE FRANCE;784312332;SIREN
859;493;FEDERATION NAT AVIATION MARCHANDE;394382089;SIREN
860;493;AIRPORTS COUNCIL INTERNATIONAL EUROPE (ACI EUROPE);H362154500;HATVP
861;493;CONFEDERATION DES PETITES ET MOYENNES ENTREPRISES;303215016;SIREN
862;493;TRANSPORT DEVELOP INTERMODALITE ENVIRON;439721978;SIREN
863;493;FEDERATION FRANCAISE AERONAUTIQUE;784354417;SIREN
864;495;SYND NATION INDUST TECHNOL MEDICALES;307330845;SIREN
865;495;LES ENTREPRISES DU MEDICAMENT;784668543;SIREN
866;495;GEMME;493174825;SIREN
867;495;COLLECT.NAT.GROUP.PHARMACIEN OFFICINE;449559269;SIREN
868;495;CLUB INTER PHARMACEUTIQUE;784672503;SIREN
869;495;ASS CADRES DE L'INDUSTRIE PHARMACEUTIQUE;407578806;SIREN
870;495;NILE;498735448;SIREN
871;495;DASTRI;792505554;SIREN
872;496;AIDER LES OURS - SUN BEAR OUTREACH;W751223869;RNA
873;496;PROTECT ANIMAUX SAUVAGES PATRIM NATUREL;377831474;SIREN
874;496;CONVERGENCE.ANIMAUX.POLITIQUE (C.A.P);W911002178;RNA
875;496;CENTRE ATHENAS;W392000484;RNA
876;496;ANIMALS ASIA GROUPE DE SOUTIEN FRANCE;W131007415;RNA
877;497;ASS PROMOTION VOLAILLE FRANCAISE;479907388;SIREN
878;498;FEDER FRANCAISE TELECOMS COMMUNICATIONS ELECTRONIQUES;502086325;SIREN
879;500;A I M C C;784602245;SIREN
880;500;ASSOCIATION HQE;414472167;SIREN
881;500;COLLECTIF EFFINERGIE;492203666;SIREN
882;503;MOUVEMENT DES ENTREPRISES DE FRANCE;775347453;SIREN
883;503;GROUPEMENT DES PROFESSIONS DE SERVICES;477942114;SIREN
884;503;CONFEDERATION DES PETITES ET MOYENNES ENTREPRISES;303215016;SIREN
885;503;FEDER SYND SOC ETUDES CONSEILS;784179426;SIREN
886;505;UNION  TRANSPORTS PUBLICS FERROVIAIRES;784408643;SIREN
887;506;HUB INSTITUTE;523594752;SIREN
888;506;ASLOG INFORMATIQUE;450527296;SIREN
889;506;ASSOCIATION FRANCAISE DE NORMALISATION;775724818;SIREN
890;506;GROUPEMENT SYNDICAT SYNTEC ETUDE CONSEIL;420512766;SIREN
891;506;L'ASSOCIATION DE L'ECONOMIE NUMERIQUE;322387945;SIREN
892;506;RENAISSANCE NUMERIQUE;501629232;SIREN
893;506;SOC AGRICULTEURS FRANCE;784364259;SIREN
894;507;EUROPEAN PUBLIC AFFAIRS CONSULTANCIES' ASSOCIATION (EPACA);H000000017;HATVP
895;508;FEDERATION NATIONALE MUTUALITE FRANCAISE;304426240;SIREN
896;510;FEDERATION NATIONALE DES TP - FNTP;784359788;SIREN
897;511;FEDE NAT SYNDIC EXPL AGRICOLE;784854937;SIREN
898;512;UNION NATIONAL INDUS CARRIERE MATERIEL;784717043;SIREN
899;512;SYNDICAT FRANCAIS INDUSTRIE CIMENTIERE;784359846;SIREN
900;512;ASS UTILISATEURS TRANSPORTS FRET;393985890;SIREN
901;513;UNION DES EMPLOYEURS DE L'ECONOMIE SOCIALE ET SOLIDAIRE;410168512;SIREN
902;513;COOP FR LES ENTREPRISES COOPERATIVES;317165728;SIREN
903;515;LES ENTREPRISES DU MEDICAMENT;784668543;SIREN
904;515;ASS GPE INT POUR PHARMACIE DE RECHERCHE;401255468;SIREN
905;516;LES ENTREPRISES DU MEDICAMENT;784668543;SIREN
906;517;PLATEFORME FRANCAISE EDUCATION DEVELOPPEMENT ET A LA SOLIDARITE INTERNATIONALE;801337155;SIREN
907;517;COORDI SOLIDARITE URGENCE DEVELOPPEMENT;398699538;SIREN
908;518;CONFEDERATION DES PETITES ET MOYENNES ENTREPRISES;303215016;SIREN
909;518;UNION NATIONALE DES PROFESSIONS LIBERALES;302991591;SIREN
910;519;FEHAP FORMATION;316403880;SIREN
911;519;UNION NAT INTER OEUVRE PRIVE SANIT SOCIA;775672223;SIREN
912;519;AGENCE NATIONALE DE L'EVALUATION ET DE LA QUALITE DES ETS ET DES SERVICES SOCIAUX ET MEDICO-SOCIAUX;130003619;SIREN
913;519;ASSO NATIONALE INFOR LOGEMENT;304163983;SIREN
914;519;FONDAT ABBE PIERRE LOGEMENT DEFAVORISES;345282016;SIREN
915;521;COMITE NATIONAL DE LA CONCHYLICULTURE;784385692;SIREN
916;521;MEDEF GRANDE AQUITAINE;820303014;SIREN
917;521;CGPME GIRONDE;492087127;SIREN
918;521;UNION METIERS INDUSTRIE HOTELIERE REGION AQUITAINE;498209667;SIREN
919;521;UNION METIERS & INDUSTRIES HOTELLERIE;784357857;SIREN
920;521;CHAMBRE DE COMMERCE ET D'INDUSTRIE TERRITORIALE BORDEAUX GIRONDE;130022858;SIREN
921;521;CONSEIL INTERPROF DU VIN DE BORDEAUX;781846092;SIREN
922;525;FEDALIM;440577674;SIREN
923;526;JEUNES AGRICULTEURS NOUVELLE AQUITAINE;490290400;SIREN
924;527;FEDERAT NAT ACTIVITE DECHET;784360182;SIREN
925;527;AFAIA;342498110;SIREN
926;527;INSTITUT DE L'ECONOMIE CIRCULAIRE;790867493;SIREN
927;528;ASSOCIATION DES BRASSEURS DE FRANCE;775671654;SIREN
928;528;INSTITU LIAISON ETUDES INDUSTR CONSOMM;784671075;SIREN
929;529;UNION DES ENTREPRISES DE PROXIMITE;349681098;SIREN
930;529;CONFED NAT ARTISAN DES METIER ET SERVICE;784409211;SIREN
931;530;ASA CENTRE REGIONAL JEUNES AGRICULTEURS;389241050;SIREN
932;531;JEUNES AGRICULTEURS GRAND EST;528510993;SIREN
933;532;GEMME;493174825;SIREN
934;533;FEDERATION BANCAIRE FRANCAISE;434987582;SIREN
935;533;PARIS EUROPLACE;393769252;SIREN
936;533;ASS PROFESSIONNELLE BANQUES;775675887;SIREN
937;533;ASSO FRANCAI ENTREPRIS PRIVEES;326943016;SIREN
938;533;ASS FRANCAISE PROFESSIONNELS DES TITRES;400427910;SIREN
939;533;AMERICAIN CHAMBER OF COMMERC;784357329;SIREN
940;534;FESAC;484376678;SIREN
941;534;FEDERATION DES EMPLOYEURS DU SPECTACLE VIVANT PUBLIC ET PRIVE;517474508;SIREN
942;535;UNION NATIONALE LYCEENNE - SYNDICALE & DEMOCRATIQUE;829426493;SIREN
943;536;GROUPEMENT INDUSTR FSES AERONAUT SPACIAL;784668394;SIREN
944;537;FEDERATION NATIONALE MUTUALITE FRANCAISE;304426240;SIREN
945;541;RESEAU ACTION CLIMAT FRANCE;422466201;SIREN
946;541;INF'OGM VEILLE CITOYENNE SUR LES OGM;423902386;SIREN
947;541;CTRE DE RECHERCH & INFORM POUR LE DVP;335063269;SIREN
948;541;FORUM CITOYEN POUR LA RESPONSABILITE SOCIALE DES ENTREPRISES;801763400;SIREN
949;541;RESEAU SEMENCES PAYSANNES;453127250;SIREN
950;541;COMBAT MONSANTO;520875915;SIREN
951;541;RESEAU  SORTIR DU NUCLEAIRE;418092094;SIREN
952;544;MOUVEMENT DES ENTREPRISES DE FRANCE;784668618;SIREN
953;545;LYCEE GEN TECHNO AGRICOLE LE ROBILLARD;191411123;SIREN
954;545;GROUPE REGIONAL AGROBIOLOGISTES HN;395084163;SIREN
955;545;GS1 FRANCE;305545675;SIREN
956;546;UNION INDUS PROTECT PLANT UIPP;785308420;SIREN
957;546;ASSOCIATION FRANCAISE DES PRODUCTEURS DE PRODUITS DE BIOCONTROLE;793600313;SIREN
958;550;F.N.A.R.;537838203;SIREN
959;551;SYND PROF PROP EXPL PLATE FORME ELIM DEC;403752546;SIREN
960;551;FEDERAT NAT ACTIVITE DECHET;784360182;SIREN
961;554;FRANCE DIGITALE;791772445;SIREN
962;554;TECH IN FRANCE;W751173464;RNA
963;555;LA FABRIQUE DE L INDUSTRIE;750263287;SIREN
964;555;ASSOCIATION NATIONALE DE LA RECHERCHE ET DE LA TECHNOLOGIE - ANRT -;784668717;SIREN
965;555;CERCLE DE L UNION INTERALLIEE;784329161;SIREN
966;555;ALLIANCE POUR L'INDUSTRIE DU FUTUR;813297710;SIREN
967;555;INSTITUT DE L ENTREPRISE;302655154;SIREN
968;559;TECH'IN FRANCE;489305367;SIREN
969;559;SYNTEC NUMERIQUE;384719001;SIREN
970;559;FEDERATION ENTREPRISES VENTE A DISTANCE;784854994;SIREN
971;561;LES ENTREPRISES DU MEDICAMENT;784668543;SIREN
972;562;ARMATEURS DE FRANCE;784357600;SIREN
973;562;LE CLUSTER MARITIME FRANCAIS;489847624;SIREN
974;562;MOUVEMENT ENTREPRISE FRANCE INTERNATIONA;378236376;SIREN
975;562;FEDERATION DES ENTREPRISES DES OUTRE-MER;393411855;SIREN
976;562;FONDATION H.E.C.;321337081;SIREN
977;563;JEUNES AGRICULTEURS PACA;404486078;SIREN
978;566;UNION  TRANSPORTS PUBLICS FERROVIAIRES;784408643;SIREN
979;566;FEDERATION NATIONALE TRANSPORT VOYAGEURS;393264379;SIREN
980;567;GROUPEMENT INDUSTR FSES AERONAUT SPACIAL;784668394;SIREN
981;568;UNION NATIONALE POUR LA PROMOTION ET LE DEVELOPPPEMENT DE LA LOCATION DE VACANCES;W751216334;RNA
982;572;CONFEDERATION DES PETITES ET MOYENNES ENTREPRISES;303215016;SIREN
983;572;UNION FEDERATIONS TRANSPORTS;784717258;SIREN
984;573;FEDE NAT SYNDIC EXPL AGRICOLE;784854937;SIREN
985;574;UNION  TRANSPORTS PUBLICS FERROVIAIRES;784408643;SIREN
986;574;AGIFI;504447178;SIREN
987;576;LE CLUSTER MARITIME FRANCAIS;489847624;SIREN
988;576;ASSOCIATOIN POLE MER BRETAGNE;488726563;SIREN
989;576;SYNDICAT DES ENERGIES RENOUVELABLES;419710280;SIREN
990;576;EVOLEN;534585419;SIREN
991;576;UNION INDUSTRIES METALLURGIQUES MINIERES;784717191;SIREN
992;576;CONSEIL DES INDUSTRIES DE LA CONFIANCE ET DE LA SECURITE;829519289;SIREN
993;576;TOULON VAR TECHNOLOGIES;345245260;SIREN
994;578;INTERNATIONAL FEDERATION OF ACCOUNTANTS (IFAC);H437625158;HATVP
995;579;LE CERCLE DE L'INDUSTRIE;394192389;SIREN
996;579;ASSO FRANCAI ENTREPRIS PRIVEES;326943016;SIREN
997;579;C.C.F.A;824487581;SIREN
998;579;ASS EUROPEEN VEHICULE ELECTRIQ ROUTIERS;381166792;SIREN
999;579;PLATEFORME DE LA FILIERE AUTOMOBILE;524965019;SIREN
1000;581;AFPAC;320014962;SIREN
1001;581;INSTITUT DE L'ECONOMIE CIRCULAIRE;790867493;SIREN
1002;581;SYNDICAT DES ENERGIES RENOUVELABLES;419710280;SIREN
1003;581;FEDERATION DES FAMILLES DE FRANCE;784411829;SIREN
1004;581;CONSEIL NATION ORDRE ARCHITECT;784356354;SIREN
1005;583;F.N.A.R.;537838203;SIREN
1006;584;ASS NATIONALE IND. AGRO ALIMENTAIRES;302664784;SIREN
1007;584;FEDER ENTR INDUST COMM INTERN MECANIQ;784311854;SIREN
1008;587;SERVICES COOP DE FRANCE UNION DES COOPERATIVES AGRICOLES;423093160;SIREN
1009;587;ASSOC LAITIERE FRANCAISE;302964945;SIREN
1010;588;FEDERATION ASS GENERALES ETUDIANTES;397834425;SIREN
1011;589;SYNDICAT NATIONAL DES AGENTS DE VOYAGES;784717522;SIREN
1012;589;FEDERATION ENTREPRISES VENTE A DISTANCE;784854994;SIREN
1013;589;SYNDICAT DES ENTREPRISES DU TOUR OPERATING;798928685;SIREN
1014;590;CTRE D'ETUDES DES SUPPORTS DE PUBLICITE;775690589;SIREN
1015;590;INSTITUT RECHERCH ETUD PUBLICI;784205999;SIREN
1016;590;ARPP AUTORITE DE REGULATION PROFESSIONNELLE DE LA PUBLICITE;307287193;SIREN
1017;591;FEDERATION INTERNATIONALE DES ASSO DE DISTRIBUTEURS DE FILMS;501243166;SIREN
1018;591;ASS DE LUTTE CONTRE LA PIRATERIE AUDIOVI;339337255;SIREN
1019;592;COORDI SOLIDARITE URGENCE DEVELOPPEMENT;398699538;SIREN
1020;595;GROUPE DES FEDERATIONS INDUSTRIELLES;404091621;SIREN
1021;595;MOUVEMENT DES ENTREPRISES DE FRANCE;775347453;SIREN
1022;596;GROUPEMENT DES INDUSTRIES DE CONSTRUCTION ET ACTIVITES NAVALES;784360109;SIREN
1023;597;JEUNES AGRICULTEURS NORMANDIE;793313206;SIREN
1024;599;UNION  TRANSPORTS PUBLICS FERROVIAIRES;784408643;SIREN
1025;603;SYNDICAT NATIONAL DES AGENTS DE VOYAGES;784717522;SIREN
1026;603;SYNDICAT DES ENTREPRISES DU TOUR OPERATING;798928685;SIREN
1027;605;FEDERATION FRANCAISE DU BATIMENT;784668642;SIREN
1028;607;JEUNES AGRICULTEURS GRAND EST;528510993;SIREN
1029;608;PACTE PME;524729407;SIREN
1030;608;CENTRE ETUDE DIRECTEURS ASSOCIAT PROFESS;344299425;SIREN
1031;608;SOC AGRICULTEURS FRANCE;784364259;SIREN
1032;611;CONSEIL NATION ORDRE ARCHITECT;784356354;SIREN
1033;612;F.N.A.R.;537838203;SIREN
1034;614;FNO FEDERATION NATIONALE OVINE;308575125;SIREN
1035;616;FORUM ATOMIQUE INDUSTRIEL FRANCAIS - FAIF -;309020071;SIREN
1036;618;CONFEDE. NATIONALE BOULANGERS PATISSIERS;784668402;SIREN
1037;619;GROUPE DES FEDERATIONS INDUSTRIELLES;404091621;SIREN
1038;619;MOUVEMENT DES ENTREPRISES DE FRANCE;775347453;SIREN
1039;619;UNION INDUSTRIES METIERS METALLURGIE;324642933;SIREN
1040;619;AFNOR CERTIFICATION;479076002;SIREN
1041;619;UNION ROUTIERE DE FRANCE;784361701;SIREN
1042;619;UNION FABRIC. PROTECT PROPRIETE INDUST.;784668709;SIREN
1043;619;PLATEFORME DE LA FILIERE AUTOMOBILE;524965019;SIREN
1044;619;ELLES BOUGENT;491927091;SIREN
1045;619;SOC DES INGENIEURS DE L AUTOMOBILE;352861561;SIREN
1046;619;UTAC HOLDING;824418248;SIREN
1047;620;LES ENTREPRISES DU MEDICAMENT;784668543;SIREN
1048;622;CPME AISNE;449188663;SIREN
1049;624;LES ENTREPRISES DU MEDICAMENT;784668543;SIREN
1050;626;FEDER SYND SOC ETUDES CONSEILS;784179426;SIREN
1051;626;INSTITUT DES ROUTES DES RUES ET DES INFRASTRUCTURES POUR LA MOBILITE;420200271;SIREN
1052;626;O.P.I.I.E.C.;440281186;SIREN
1053;626;ASSOCIATION FER DE FRANCE;801998311;SIREN
1054;626;ALLIANCE POUR L'INDUSTRIE DU FUTUR;813297710;SIREN
1055;626;MEDIACONSTRUCT;381966514;SIREN
1056;627;GROUPEMENT INDUSTR FSES AERONAUT SPACIAL;784668394;SIREN
1057;628;TECH'IN FRANCE;489305367;SIREN
1058;628;ALLIANCE FRANCAISE DES INDUSTRIES DU NUMERIQUE;438608630;SIREN
1059;628;AMERICAIN CHAMBER OF COMMERC;784357329;SIREN
1060;629;AFNOR CERTIFICATION;479076002;SIREN
1061;629;SAFE TECHNOLOGIES;500803390;SIREN
1062;629;HAUT COMITE FRANCAIS DEFENSE CIVILE;333035194;SIREN
1063;629;PEGASE;492957576;SIREN
1064;629;CENTRE TECHNIQUE INDUSTRIES FONDERIE;775686942;SIREN
1065;629;ASSOCIATION FRANCAISE DE NORMALISATION;775724818;SIREN
1066;630;FEDE NAT SYNDIC EXPL AGRICOLE;784854937;SIREN
1067;631;UNION DES METIERS ET DES INDUSTRIES DE L'HOTELLERIE;794441287;SIREN
1068;634;COMITE EUROPEEN POUR L'ENSEIGNEMENT CATHOLIQUE;H594021160;HATVP
1069;634;OFFICE INTERNATIONAL DE L'ENSEIGNEMENT CATHOLIQUE (OIEC);H489770596;HATVP
1070;635;MOUVEMENT ENTREPRISE FRANCE INTERNATIONA;378236376;SIREN
1071;635;CONFEDERATION DES PETITES ET MOYENNES ENTREPRISES;303215016;SIREN
1072;635;ASS  A F E C E I;428419287;SIREN
1073;635;PARIS EUROPLACE;393769252;SIREN
1074;635;FONDATION POUR PROSPECTIVE ET INNOVATION;379606833;SIREN
1075;635;CITIZEN ENTREPRENEURS;505005025;SIREN
1076;635;STRATEXIO;811196583;SIREN
1077;635;FEDERATION DES INVESTISSEURS INDIVIDUELS ET DES CLUBS D'INVESTISSEMENT;784206104;SIREN
1078;635;FORUM POUR L'INVESTI RESPONSAB - FRENCH;440698413;SIREN
1079;635;EUROPEAN PRIVATE EQUITY AND VENTURE CAPITAL ASSOCIATION (INVEST EUROPE);H000000036;HATVP
1080;637;FEDERATION FRANCAISE DU BATIMENT;784668642;SIREN
1081;637;FEDERATION NATIONALE DES TP - FNTP;784359788;SIREN
1082;639;LES ENTREPRISES DU MEDICAMENT;784668543;SIREN
1083;639;AFIPA;451446553;SIREN
1084;639;SYND INDUST MEDICAM VETERIN REACTIF;423203645;SIREN
1085;642;FEDE NAT SYNDIC EXPL AGRICOLE;784854937;SIREN
1086;644;SYNTEC NUMERIQUE;384719001;SIREN
1087;644;GROUPEMENT PERSONNELS SERVICES GPS;378629927;SIREN
1088;644;PARIS - ILE DE FRANCE CAPITALE ECONOMIQUE;401181078;SIREN
1089;644;DZA;388891186;SIREN
1090;646;GROUPEMENT INDUSTR FSES AERONAUT SPACIAL;784668394;SIREN
1091;646;AFEP;391358363;SIREN
1092;646;UNION PATRONALE DEPARMENTALE - MEDEF PARIS;398327098;SIREN
1093;646;LE CERCLE DE L'INDUSTRIE;394192389;SIREN
1094;648;UNION PATRONALE DEPARMENTALE - MEDEF PARIS;398327098;SIREN
1095;648;ASSO FRANCAI ENTREPRIS PRIVEES;326943016;SIREN
1096;648;CHAMBRE DE COMMERCE AMERICAINE EN FRANCE - AMERICAN CHAMBER OF COMMERCE IN FRANCE;W751038014;RNA
1097;648;UNION FABRIC. PROTECT PROPRIETE INDUST.;784668709;SIREN
1098;649;SYNDICAT DES RESEAUX RADIOPHONIQUES NATIONAUX SRN;W751137000;RNA
1099;649;LYSIOS;447525452;SIREN
1100;654;ASS FRANCE BENEVOLAT PARIS;488099615;SIREN
1101;654;MOUVEMENT DES ENTREPRENEURS SOCIAUX;520067786;SIREN
1102;655;CONSEIL DU COMMERCE DE FRANCE;784856528;SIREN
1103;658;FEDE NAT SYNDIC EXPL AGRICOLE;784854937;SIREN
1104;658;FEDERATION REGIONALE SYNDICAT D EXPLOITATION AGRICOLE DE BOURGOGNE;415211994;SIREN
1105;659;UNION DES ENTREPRISES DE PROXIMITE;349681098;SIREN
1106;661;CTRE REGIONAL JEUNES AGRICULTEURS BRETAG;408373751;SIREN
1107;662;MOUVEMENT DES ENTREPRISES DE FRANCE;775347453;SIREN
1108;662;CONFEDERATION DES PETITES ET MOYENNES ENTREPRISES;303215016;SIREN
1109;663;ASSOCIATION FRANCAISE DU GAZ;784854820;SIREN
1110;663;ASS UNION FRANCAISE DE L'ELECTRICITE;432492007;SIREN
1111;663;ASSO FRANCAI ENTREPRIS PRIVEES;326943016;SIREN
1112;663;SYNDICAT DES ENERGIES RENOUVELABLES;419710280;SIREN
1113;663;LE CLUSTER MARITIME FRANCAIS;489847624;SIREN
1114;663;TILDER;380780262;SIREN
1115;663;LE CERCLE DE L'INDUSTRIE;394192389;SIREN
1116;663;UPRIGAZ(UNION PROF.INDUSTRIES PRIV. GAZ);429801665;SIREN
1117;664;COMMUNICATION & ENTREPRISE;784178766;SIREN
1118;665;LES ENTREPRISES DU MEDICAMENT;784668543;SIREN
1119;665;ASS GPE INT POUR PHARMACIE DE RECHERCHE;401255468;SIREN
1120;666;SYND NAT DE LA RESTAURATION COLLECTIVE;422475962;SIREN
1121;667;UNION PROF ARTISANALE DU TARN;479286098;SIREN
1122;667;UNION DEPARTEMENTALE DES SYNDICATS C.N.A.M.S DU TARN;803646660;SIREN
1123;668;FESAC;484376678;SIREN
1124;670;ALLIANCE FRANCAISE DES INDUSTRIES DU NUMERIQUE;438608630;SIREN
1125;670;CHAMBRE COMMERCE SUEDOISE EN FRANCE;784358368;SIREN
1126;670;FEDERATION DES INDUSTRIES DES RESEAUX D INITIATIVE PUBLIQUE;790734990;SIREN
1127;670;WBC SARL WINE & BUSINESS CLUB;433933884;SIREN
1128;671;ASSOCIATION DE LA PRESSE POUR LA TRANSPARENCE ECONOMIQUE;789251543;SIREN
1129;671;ASSOCIATION PRESSE ET PLURALISME;512788753;SIREN
1130;671;ASSOCIATION DE LA PRESSE IPG;790358261;SIREN
1131;672;FRANCE HYDRO ELECTRICITE GPAE ECOWATT;420030967;SIREN
1132;673;ASS UNION FRANCAISE DE L'ELECTRICITE;432492007;SIREN
1133;673;FEDENE SERVICES;652027863;SIREN
1134;673;ASSOCIAT TECHNIQUE ENERGIE ENVIRONNEMENT;315062786;SIREN
1135;673;EQUILIBRE DES ENERGIES  - POUR L'EQUILIBRE DES ENERGIES-;532382660;SIREN
1136;673;SYNDICAT DES ENERGIES RENOUVELABLES;419710280;SIREN
1137;673;COMITE INTERPROFESSIONNEL DU BOIS ENERGIE CIBE;491783551;SIREN
1138;674;ASS NATIONALE IND. AGRO ALIMENTAIRES;302664784;SIREN
1139;675;ASSO FRANCAI ENTREPRIS PRIVEES;326943016;SIREN
1140;675;MOUVEMENT DES ENTREPRISES DE FRANCE;784668618;SIREN
1141;675;FEDERATION NATIONALE DES TP - FNTP;784359788;SIREN
1142;675;ENTREPRISE GENERALES FRANCE BATI TRAVAUX;775661937;SIREN
1143;675;ASSO SOC FRANCAISES D AUTOR;325951903;SIREN
1144;676;ASS NATIONALE IND. AGRO ALIMENTAIRES;302664784;SIREN
1145;677;FEDERATION DES INDUSTRIES MECANIQUES;775671688;SIREN
1146;677;FED IDUST ELECTR ELECTRONIQUES  COMMUNIC;775688443;SIREN
1147;679;MOUVEMENT DES ENTREPRISES DE TAILLE INTERMEDIAIRE LES ENTREPRISES DE LONG TERME;403860638;SIREN
1148;679;FEDERATION DU NEGOCE AGRICOLE;332276898;SIREN
1149;679;ASS NATIONAL MEUNERI FRANCAISE;775671811;SIREN
1150;679;FED ENTREP BOULANGER PATISSER FRANCAISES;784717902;SIREN
1151;679;SYNDICAT MAT COMMERCE CEREALES GRAINES;784178949;SIREN
1152;680;FEDE NAT SYNDIC EXPL AGRICOLE;784854937;SIREN
1153;681;COMITE LIAISON ACTION PARENT HANDICAP;312707250;SIREN
1154;681;ASSOCIATION NATIONALE DES EQUIPES CONTRIBUANT A L'ACTION MEDICO SOCIALE PRECOCE;331329383;SIREN
1155;681;CONSEIL NATION LOISIRS TOURISME ADAPTES;394757199;SIREN
1156;681;AGENCE NATIONALE DE L'EVALUATION ET DE LA QUALITE DES ETS ET DES SERVICES SOCIAUX ET MEDICO-SOCIAUX;130003619;SIREN
1157;681;UNION NATIONALE ASSOCIAT FAMILIALES;784411902;SIREN
1158;681;UNION NATIONALE DES ASSOCIATIONS AGREEES DU SYSTEME DE SANTE;481370039;SIREN
